DATE,NCBPPRIVSA
2003-04-01,5703.67355262291
2003-05-01,6162.7081344709495
2003-06-01,6631.39895069305
2003-07-01,6741.064669787321
2003-08-01,6745.51086383678
2003-09-01,6926.737836835699
2003-10-01,7636.33386078591
2003-11-01,6434.45023911206
2003-12-01,7226.061071203299
2004-01-01,6911.30709575135
2004-02-01,6953.6209308076795
2004-03-01,9226.13195164329
2004-04-01,7576.685067876941
2004-05-01,7525.37514756021
2004-06-01,7298.40466946354
2004-07-01,8943.36775931831
2004-08-01,7482.842572416071
2004-09-01,7291.68596651521
2004-10-01,6831.875785783171
2004-11-01,7769.07147247158
2004-12-01,7777.36473482101
2005-01-01,7233.567706137329
2005-02-01,7777.728825161271
2005-03-01,7682.22842383904
2005-04-01,8511.61770405182
2005-05-01,7747.168708476229
2005-06-01,8437.00488916519
2005-07-01,8104.817022111941
2005-08-01,8741.45337077962
2005-09-01,8467.88596616945
2005-10-01,8144.889808500258
2005-11-01,8270.611807710191
2005-12-01,8039.1253823837205
2006-01-01,8736.982925807259
2006-02-01,8651.23242710194
2006-03-01,9518.510462626291
2006-04-01,8781.64518007354
2006-05-01,8830.8028815954
2006-06-01,8274.17831189703
2006-07-01,7320.75833918713
2006-08-01,8103.703043708159
2006-09-01,7894.121397882741
2006-10-01,8111.39593677634
2006-11-01,6963.26530117509
2006-12-01,8472.73792527932
2007-01-01,8135.24932807188
2007-02-01,7317.44676320283
2007-03-01,7938.49466675722
2007-04-01,6813.96628313106
2007-05-01,7488.238552476229
2007-06-01,7228.29167952109
2007-07-01,6933.26143062749
2007-08-01,6156.51308898147
2007-09-01,6213.247472578941
2007-10-01,5853.30534759058
2007-11-01,6655.328377432261
2007-12-01,5235.22127244156
2008-01-01,5724.295047952621
2008-02-01,5780.458355635129
2008-03-01,4775.56185363207
2008-04-01,4875.98096053664
2008-05-01,4428.49514082843
2008-06-01,4955.868503142729
2008-07-01,6686.63050925931
2008-08-01,3645.1028553328206
2008-09-01,3689.7200256990204
2008-10-01,3763.7798505258897
2008-11-01,2861.0718124916402
2008-12-01,3051.9533819228495
2009-01-01,2877.91963306491
2009-02-01,2370.53449127376
2009-03-01,2127.54720776756
2009-04-01,2960.3912134715197
2009-05-01,2895.9288640362297
2009-06-01,3030.49482642984
2009-07-01,2575.43941118498
2009-08-01,2875.1354040132696
2009-09-01,3400.54038772698
2009-10-01,2905.2178802586304
2009-11-01,2855.9561314392304
2009-12-01,3095.52479107396
2010-01-01,2928.91910557838
2010-02-01,3125.41307152471
2010-03-01,3270.4632433088
2010-04-01,3101.27694393287
2010-05-01,2646.80236146803
2010-06-01,2916.62570522297
2010-07-01,3058.6365272635803
2010-08-01,2686.2772678427
2010-09-01,2336.7727616421103
2010-10-01,2467.56617253314
2010-11-01,2586.62581402427
2010-12-01,2655.66673494787
2011-01-01,2501.6520897293804
2011-02-01,3182.90179589478
2011-03-01,3071.64769539652
2011-04-01,2407.84513361342
2011-05-01,2614.63353469502
2011-06-01,2762.1874098467897
2011-07-01,2370.68819201822
2011-08-01,2749.6972335194
2011-09-01,2370.77016909302
2011-10-01,2490.70158889851
2011-11-01,3349.7727435404304
2011-12-01,2952.23044187462
2012-01-01,4501.18691451334
2012-02-01,3590.2331783266704
2012-03-01,3512.6154714894606
2012-04-01,2766.9080437795396
2012-05-01,4773.80945904295
2012-06-01,3687.54739202166
2012-07-01,4290.453029144821
2012-08-01,3636.0177431519396
2012-09-01,3179.45231391614
2012-10-01,4859.840841436189
2012-11-01,4657.9016963820295
2012-12-01,3920.93512872584
2013-01-01,4435.34786912385
2013-02-01,3830.9142517711603
2013-03-01,3741.23071490724
2013-04-01,4334.7098549599705
2013-05-01,4373.24673373698
2013-06-01,4192.43326627591
2013-07-01,3396.10850747736
2013-08-01,4046.21702799921
2013-09-01,4024.9815318065603
2013-10-01,4428.49817175134
2013-11-01,3941.9356472400605
2013-12-01,4441.18105531611
2014-01-01,4076.53537308331
2014-02-01,3799.47739893705
2014-03-01,4165.58301726201
2014-04-01,4086.5667176806
2014-05-01,3837.6029219969105
2014-06-01,3637.99284614068
2014-07-01,4138.36148544805
2014-08-01,4592.7763605175205
2014-09-01,4773.1199617366
2014-10-01,4317.60738136867
2014-11-01,4195.17013109467
2014-12-01,4668.32832845858
2015-01-01,4271.06400548897
2015-02-01,4516.018234650201
2015-03-01,4065.1052587438103
2015-04-01,4251.242554798329
2015-05-01,4587.7473091230295
2015-06-01,4540.05785091442
2015-07-01,4271.03071504
2015-08-01,3839.23677775996
2015-09-01,4041.34935500781
2015-10-01,4481.57125988217
2015-11-01,3974.27760329835
2015-12-01,4886.91168901606
2016-01-01,3706.1056127189295
2016-02-01,4112.56936873338
2016-03-01,4726.792064047349
2016-04-01,4686.8223376961
2016-05-01,4497.25454088223
2016-06-01,5038.745259697371
2016-07-01,5238.85770908678
2016-08-01,4796.52463007836
2016-09-01,5383.311957899729
2016-10-01,4634.71353155825
2016-11-01,4920.853021280171
2016-12-01,4452.12513732911
2017-01-01,4972.0293670909205
2017-02-01,5054.84473229913
2017-03-01,6617.9853827543
2017-04-01,3589.08927379818
2017-05-01,4982.3108561420295
2017-06-01,5151.10824712146
2017-07-01,5598.98651954485
2017-08-01,6110.8224310052
2017-09-01,5431.494172106621
2017-10-01,5818.970601201469
2017-11-01,6185.668375329599
2017-12-01,5519.49781194406
2018-01-01,6767.34491319937
2018-02-01,6359.94972789869
2018-03-01,5409.6556537017605
2018-04-01,6144.57702346424
2018-05-01,6369.01344830539
2018-06-01,5152.42755321433
2018-07-01,5576.07630875374
2018-08-01,6721.4613292739505
2018-09-01,4701.93567218304
2018-10-01,4973.3587007457
2018-11-01,4908.73954727841
2018-12-01,6475.0524559223095
2019-01-01,4689.55299269216
2019-02-01,5010.89699135996
2019-03-01,4836.94651105031
2019-04-01,5430.359375347921
2019-05-01,7504.70902893485
2019-06-01,5722.46897906409
2019-07-01,5500.3394235916
2019-08-01,5569.54894648554
2019-09-01,6058.89245028032
2019-10-01,6346.639147011309
2019-11-01,5530.001735784411
2019-12-01,6109.819388168829
2020-01-01,5961.03972394606
2020-02-01,5477.85896807512
2020-03-01,6234.89137596406
2020-04-01,4750.53491345884
2020-05-01,5064.73379886605
2020-06-01,6654.72717302991
2020-07-01,6112.979973548
2020-08-01,6230.23119648698
2020-09-01,6340.37754163672
2020-10-01,6403.164900774971
2020-11-01,7406.33944425878
2020-12-01,7113.31105554591
2021-01-01,6421.46391934915
2021-02-01,7533.051135815601
2021-03-01,8064.147599034559
2021-04-01,7923.64942951402
2021-05-01,6572.728150809289
2021-06-01,7947.0943755975
2021-07-01,7827.7350948188005
2021-08-01,7828.018915505171
2021-09-01,8177.71259346107
2021-10-01,8122.998909294921
2021-11-01,7862.211659044191
2021-12-01,7606.215812900609
2022-01-01,8417.86775889423
2022-02-01,7987.423162082159
2022-03-01,7455.76912734043
2022-04-01,8909.02217684301
2022-05-01,8351.52163895346
2022-06-01,6744.098758721229
2022-07-01,6842.235273728461
2022-08-01,7565.653267333821
2022-09-01,7281.2189297451505
2022-10-01,6940.015692002521
2022-11-01,7426.10403469542
2022-12-01,6221.8111632338505
2023-01-01,7375.3567684891295
2023-02-01,7722.95848188726
