DATE,TNBPPRIVSA
2003-02-01,2389.5915179221397
2003-03-01,2937.34330087346
2003-04-01,3053.94028957889
2003-05-01,2816.8896624949202
2003-06-01,3074.18425224515
2003-07-01,3213.0463378570003
2003-08-01,3166.33358511536
2003-09-01,3194.4624076771397
2003-10-01,4305.119185228429
2003-11-01,2720.29287913668
2003-12-01,3852.35606257557
2004-01-01,3237.14963162787
2004-02-01,3588.5607761514
2004-03-01,4733.47280871935
2004-04-01,3553.8389126641796
2004-05-01,3457.31803316261
2004-06-01,3465.57818299629
2004-07-01,3806.4930611686605
2004-08-01,3419.1597497131
2004-09-01,3764.52741744183
2004-10-01,3551.3306102166903
2004-11-01,3477.29017206099
2004-12-01,4042.11428804656
2005-01-01,3659.2096837267104
2005-02-01,3581.3361033109704
2005-03-01,3336.61956190419
2005-04-01,3734.89967393012
2005-05-01,3519.2998829712606
2005-06-01,4132.72080088727
2005-07-01,3560.06802207815
2005-08-01,4116.3651667506
2005-09-01,3919.9614836653295
2005-10-01,3881.57980495984
2005-11-01,4239.07086816396
2005-12-01,3708.4474459376597
2006-01-01,4188.60348606972
2006-02-01,4162.18118998364
2006-03-01,4284.90267487751
2006-04-01,3057.28578786319
2006-05-01,3874.6374011385496
2006-06-01,3769.89250860274
2006-07-01,3273.2756450517895
2006-08-01,4051.26580072099
2006-09-01,3505.90603521794
2006-10-01,3453.43317657432
2006-11-01,3599.3839554759998
2006-12-01,3342.31168772643
2007-01-01,3724.36415077599
2007-02-01,3274.76349630386
2007-03-01,2983.9467041039397
2007-04-01,3028.8692154191303
2007-05-01,3393.91993189416
2007-06-01,2641.34403308646
2007-07-01,3104.18215742646
2007-08-01,2829.69332075044
2007-09-01,2518.9745163462
2007-10-01,2485.79027191971
2007-11-01,3542.48364653313
2007-12-01,1907.3277164286899
2008-01-01,2013.9062467808103
2008-02-01,1882.71057337107
2008-03-01,1982.4271631233999
2008-04-01,1889.7136481410398
2008-05-01,1658.96215263404
2008-06-01,1602.4868573887302
2008-07-01,1883.13495587413
2008-08-01,1433.62282186954
2008-09-01,2089.23216495514
2008-10-01,1331.7137356779301
2008-11-01,1007.7111747113099
2008-12-01,1431.5576770210098
2009-01-01,1111.3992035105698
2009-02-01,1097.63367504979
2009-03-01,1003.5651221059301
2009-04-01,1088.2073919627499
2009-05-01,1034.49429598831
2009-06-01,1502.6206723472799
2009-07-01,1254.8184425543
2009-08-01,1166.5561886345
2009-09-01,1221.98933563086
2009-10-01,1315.74224536253
2009-11-01,1217.959124904
2009-12-01,1254.30207568244
2010-01-01,1451.88538114365
2010-02-01,1925.7811216011899
2010-03-01,1451.3593983137198
2010-04-01,1303.95172604346
2010-05-01,1462.4615431520401
2010-06-01,1378.26590504509
2010-07-01,1031.7896378469302
2010-08-01,1587.45848151405
2010-09-01,1251.79117637776
2010-10-01,976.0348667812481
2010-11-01,924.66190117918
2010-12-01,985.68616835991
2011-01-01,858.302407593913
2011-02-01,1051.89685420838
2011-03-01,1126.9901841369
2011-04-01,1047.24763488466
2011-05-01,943.347720159026
2011-06-01,1191.10689717578
2011-07-01,1049.55850519782
2011-08-01,1152.88307575335
2011-09-01,1707.0549058676402
2011-10-01,907.7826742253591
2011-11-01,1715.7677398966198
2011-12-01,1543.3990232153399
2012-01-01,1543.93455624299
2012-02-01,1344.93390091348
2012-03-01,1583.72019620214
2012-04-01,1291.4047463404
2012-05-01,1520.4752189629098
2012-06-01,1618.2669351925301
2012-07-01,1357.14829397498
2012-08-01,1744.8358467091198
2012-09-01,1513.03959169932
2012-10-01,1567.2066656897598
2012-11-01,1786.349619221
2012-12-01,1957.02764109085
2013-01-01,1771.03165440292
2013-02-01,1719.74383382415
2013-03-01,1385.72794530782
2013-04-01,1942.7844733154398
2013-05-01,2183.4727459761702
2013-06-01,1699.24270646333
2013-07-01,2243.06823236681
2013-08-01,1793.49456325633
2013-09-01,2020.51664120975
2013-10-01,2232.8227346742897
2013-11-01,1732.54379624974
2013-12-01,1748.01561583443
2014-01-01,2836.6094020172304
2014-02-01,2209.59997458741
2014-03-01,1667.60631325836
2014-04-01,2160.93215357706
2014-05-01,1799.24552023629
2014-06-01,1921.45868161268
2014-07-01,1875.5997103545399
2014-08-01,1782.45868756445
2014-09-01,1975.11436243573
2014-10-01,3050.17133947892
2014-11-01,2207.9461892985896
2014-12-01,2198.9172756792605
2015-01-01,2333.87142335452
