DATE,IABPPRIVSA
2003-10-01,1223.8376590392802
2003-11-01,1362.01096501991
2003-12-01,1425.5007854764901
2004-01-01,1367.34276052057
2004-02-01,962.728783337833
2004-03-01,1402.9620354628698
2004-04-01,1423.4948520181601
2004-05-01,1258.2893502064699
2004-06-01,1398.20097224293
2004-07-01,1238.7130812099902
2004-08-01,1314.4384713643499
2004-09-01,1273.84921950252
2004-10-01,1333.90177381444
2004-11-01,1344.10935136369
2004-12-01,1093.79610390089
2005-01-01,1102.73702507904
2005-02-01,1341.7366206709698
2005-03-01,1641.3006777237601
2005-04-01,1488.3058872640302
2005-05-01,1330.76870154375
2005-06-01,1398.69341077065
2005-07-01,1509.5400927943201
2005-08-01,1486.43485712238
2005-09-01,1603.12637135742
2005-10-01,1413.9728460738002
2005-11-01,1472.0001429908898
