DATE,MABPPRIVSA
1999-07-01,1622.47955227846
1999-08-01,1451.9599837163198
1999-09-01,1460.6656885980801
1999-10-01,1502.65346128452
1999-11-01,1494.6538978886801
1999-12-01,1812.86580291038
2000-01-01,1416.93569582099
2000-02-01,1291.35015499006
2000-03-01,1923.5657249736998
2000-04-01,1521.1174765344
2000-05-01,1372.67455894542
2000-06-01,1343.48013104765
2000-07-01,1564.9694326622598
2000-08-01,1332.9571180662301
2000-09-01,1454.64472990772
2000-10-01,1358.84224613712
2000-11-01,1519.13261447917
2000-12-01,1235.03244963173
2001-01-01,1481.20646784018
2001-02-01,1715.12304048239
2001-03-01,1227.3088736297198
2001-04-01,1296.5580087504302
2001-05-01,1507.6639130915
2001-06-01,1277.1157313416
2001-07-01,1464.3654149176502
2001-08-01,1452.21290435129
2001-09-01,1323.0996207013
2001-10-01,1272.8780403494802
2001-11-01,1439.12286578552
2001-12-01,1234.24409736784
2002-01-01,1480.3619365300399
2002-02-01,1556.17272469215
2002-03-01,1340.9626125035302
2002-04-01,1330.3248228538
2002-05-01,1822.48435971132
2002-06-01,1656.1759505128
2002-07-01,1239.76307108835
2002-08-01,1394.2892254668698
2002-09-01,1414.46856453648
2002-10-01,1353.3190215694801
2002-11-01,1227.7719172182
2002-12-01,1293.30605903095
2003-01-01,1141.53757435187
2003-02-01,1522.1854945710998
2003-03-01,1289.4930045944
2003-04-01,1491.48200791613
2003-05-01,1366.07107841555
2003-06-01,1394.2149042076198
2003-07-01,1655.2074738513502
2003-08-01,1892.09097834225
2003-09-01,1512.2186520036498
2003-10-01,1806.5047003724103
2003-11-01,1710.0570824064002
2003-12-01,1636.48646992353
2004-01-01,1803.2578052863398
2004-02-01,1311.0951798921499
2004-03-01,1573.0680866808402
2004-04-01,1797.5560179264398
2004-05-01,1666.1222073969102
2004-06-01,1685.2133475548999
2004-07-01,1624.4414843658599
2004-08-01,1772.24498331936
2004-09-01,1896.96523736607
2004-10-01,1780.32869445845
2004-11-01,1999.94677659397
2004-12-01,2171.15809267934
2005-01-01,2060.68073862677
2005-02-01,1676.9828776201098
2005-03-01,2068.76316146641
2005-04-01,1591.6258347760902
2005-05-01,1991.97903893355
2005-06-01,2194.88879040009
2005-07-01,2046.59396753243
2005-08-01,1864.1214737505
2005-09-01,1840.2383729888898
2005-10-01,2011.9632290254
2005-11-01,1838.90854067425
2005-12-01,1949.9791073911
2006-01-01,1972.7316036564002
2006-02-01,2069.56955946476
2006-03-01,2179.27478688184
2006-04-01,2258.19427127292
2006-05-01,1444.52068934635
2006-06-01,1702.38964309185
2006-07-01,1384.75597038978
2006-08-01,1472.86028245073
2006-09-01,1571.39636125474
2006-10-01,1373.98032814821
2006-11-01,1535.9825748436901
2006-12-01,1549.46404106606
2007-01-01,2572.31018830698
2007-02-01,1451.29383597826
2007-03-01,1124.74620784468
2007-04-01,1105.48224125504
2007-05-01,1418.2888099737697
2007-06-01,921.062600685829
2007-07-01,1335.20289355751
2007-08-01,1065.93485869849
2007-09-01,988.198821059117
2007-10-01,1140.8136237956
2007-11-01,966.2210726049541
2007-12-01,838.518059424998
2008-01-01,779.7056203875951
2008-02-01,681.4470391329901
2008-03-01,1009.2484166768901
2008-04-01,960.9448115580569
2008-05-01,828.559736380281
2008-06-01,1675.02539133386
2008-07-01,736.397498528674
2008-08-01,620.1846936788301
2008-09-01,688.96937613142
2008-10-01,489.257784451445
2008-11-01,452.864679986174
2008-12-01,466.975519626068
2009-01-01,485.59371604338304
2009-02-01,1556.72651063561
2009-03-01,468.841935295534
2009-04-01,396.222639858358
2009-05-01,434.466140655904
2009-06-01,408.69989167691904
2009-07-01,498.21034304447306
2009-08-01,663.867205810017
2009-09-01,548.758350881422
2009-10-01,600.56809742237
2009-11-01,501.338991110054
2009-12-01,730.4822288864129
2010-01-01,706.028086771504
2010-02-01,803.398728650366
2010-03-01,610.709800611526
2010-04-01,717.6108894440911
2010-05-01,419.39368787692496
2010-06-01,980.2573780949899
2010-07-01,843.786146879676
2010-08-01,704.802113274896
2010-09-01,845.473945633312
2010-10-01,625.939757666902
2010-11-01,818.637455887187
2010-12-01,617.596054128062
2011-01-01,543.636726059809
2011-02-01,422.498218295064
2011-03-01,525.30114188835
2011-04-01,451.379013758268
2011-05-01,709.387975914144
2011-06-01,655.95894469246
2011-07-01,455.642898729936
2011-08-01,522.727734785424
2011-09-01,507.351675574022
2011-10-01,851.623230195431
2011-11-01,791.000490319824
2011-12-01,755.169778619587
2012-01-01,593.0807693752739
2012-02-01,1572.1233443427802
2012-03-01,740.4774035383259
2012-04-01,1035.76289472403
2012-05-01,898.8973075425109
2012-06-01,475.21425490823304
2012-07-01,736.662285415121
2012-08-01,1074.33825568438
2012-09-01,680.309786185214
2012-10-01,786.958860911924
2012-11-01,909.277301998103
2012-12-01,884.216904432832
2013-01-01,1011.08811453411
2013-02-01,1004.44971307104
2013-03-01,1098.7913490142
2013-04-01,1076.8498794047698
2013-05-01,861.2503515760491
2013-06-01,1254.2982046044199
2013-07-01,1896.2765810538199
2013-08-01,1059.29891758119
2013-09-01,1195.85536641334
2013-10-01,1011.6235807694301
2013-11-01,816.975394142128
2013-12-01,1343.97716205252
2014-01-01,1389.65342134818
2014-02-01,1325.69144992234
2014-03-01,899.249574387424
2014-04-01,1082.4156156311599
2014-05-01,1092.2246129334699
2014-06-01,963.3315508483099
2014-07-01,1198.27654815003
2014-08-01,1119.05541152307
2014-09-01,1037.01139978743
2014-10-01,1136.11215622646
2014-11-01,1343.2840513559802
2014-12-01,919.551783797771
2015-01-01,2185.10012496618
2015-02-01,953.8865885152229
2015-03-01,1490.6237833200303
2015-04-01,1146.96405220623
2015-05-01,2003.63454163447
2015-06-01,1251.93486678994
2015-07-01,1045.68685100916
2015-08-01,1371.93306833037
2015-09-01,1775.1778685595998
2015-10-01,1331.10627582986
2015-11-01,1401.25651942818
2015-12-01,1335.11755701593
2016-01-01,935.021298453286
2016-02-01,1317.01556182268
2016-03-01,1097.0172500911901
2016-04-01,1321.91735443941
2016-05-01,852.739772511223
2016-06-01,1116.2654138385499
2016-07-01,1184.08732201765
2016-08-01,1138.00291770987
2016-09-01,1800.57319831409
2016-10-01,1031.55460469081
2016-11-01,1097.8875966103
2016-12-01,874.364229545097
2017-01-01,979.265898812861
2017-02-01,1020.020899856
2017-03-01,2125.16172712023
2017-04-01,1015.61615815875
2017-05-01,1619.37377524094
2017-06-01,1403.24977815976
2017-07-01,1733.5125799857901
2017-08-01,1338.4473686055999
2017-09-01,1392.5059369308801
2017-10-01,1529.55785672697
2017-11-01,1043.00791619663
2017-12-01,2155.24406494054
2018-01-01,1700.46496890896
2018-02-01,1285.71451809606
2018-03-01,1343.60607598597
2018-04-01,920.5151836607789
2018-05-01,1958.8342101774201
2018-06-01,1196.78744692745
2018-07-01,914.800014512493
2018-08-01,969.626255823562
2018-09-01,906.121387549706
2018-10-01,1167.85975078399
2018-11-01,998.12368697357
2018-12-01,1168.57013905193
2019-01-01,996.005463547697
2019-02-01,1167.60124041675
2019-03-01,1059.5540683041802
2019-04-01,1089.80434092984
2019-05-01,951.0534298257801
2019-06-01,1043.2611205236801
2019-07-01,1157.84996458751
2019-08-01,1385.18183966766
2019-09-01,888.4144748313139
2019-10-01,1280.08940512024
2019-11-01,1359.3693945885
2019-12-01,1196.49370801235
2020-01-01,2177.55892414522
2020-02-01,1163.29002728424
2020-03-01,1120.94244182913
2020-04-01,553.058146520838
2020-05-01,1209.63370870356
2020-06-01,1358.1487515219198
2020-07-01,1405.42244067698
2020-08-01,1177.57258440853
2020-09-01,1405.22060633757
2020-10-01,1298.78530685897
2020-11-01,1598.0205136516001
2020-12-01,1473.51132456778
2021-01-01,1518.13090199108
2021-02-01,1399.5363934469199
2021-03-01,1493.9912972488698
2021-04-01,2075.6372396269
2021-05-01,1692.29845917995
2021-06-01,1119.97479136479
2021-07-01,1266.64683272115
2021-08-01,1447.2695909855402
2021-09-01,1756.7016485591598
2021-10-01,1241.28010425701
2021-11-01,998.128907936205
2021-12-01,2246.5013541775897
2022-01-01,1452.03873063921
2022-02-01,2731.0037814468
2022-03-01,1785.85765968883
2022-04-01,1816.74411095042
2022-05-01,1350.96625441943
2022-06-01,1721.9149613834802
2022-07-01,1566.3480773729098
2022-08-01,1352.48874725953
2022-09-01,1494.1837940903602
2022-10-01,1339.05290661687
2022-11-01,1259.51039371348
2022-12-01,1277.69876272491
2023-01-01,1354.63466330749
2023-02-01,1475.9612697594
