DATE,KSBPPRIVSA
2003-10-01,1744.2037349843301
2003-11-01,1187.8469271345
2003-12-01,1274.1625289782698
2004-01-01,918.2358651475071
2004-02-01,794.510192642302
2004-03-01,1130.8846817929
2004-04-01,1103.6643820143
2004-05-01,962.814152887057
2004-06-01,1004.57247270244
2004-07-01,1048.77205764994
2004-08-01,1023.04507982476
2004-09-01,1221.04740022609
2004-10-01,716.006911295384
2004-11-01,835.590092921389
2004-12-01,1146.63271116525
2005-01-01,873.310785639339
2005-02-01,1135.11815056152
2005-03-01,1222.48736364294
2005-04-01,1252.95539182643
2005-05-01,1101.90196146988
2005-06-01,1162.02319562437
2005-07-01,1265.6692570033501
2005-08-01,1139.78986961445
2005-09-01,1194.16079819471
2005-10-01,1072.14571823986
2005-11-01,1473.8341860764901
