DATE,HIBPPRIVSA
2004-03-01,707.771673159693
2004-04-01,707.3337862963789
2004-05-01,589.260384527453
2004-06-01,837.072393324575
2004-07-01,706.179220148362
2004-08-01,677.244236525734
2004-09-01,611.372043517973
2004-10-01,670.194599550654
2004-11-01,818.62098937178
2004-12-01,636.441485508255
2005-01-01,490.230090403998
2005-02-01,581.960348019163
2005-03-01,945.3723409403179
2005-04-01,829.5945309545759
2005-05-01,752.7496567961929
2005-06-01,688.342092237789
2005-07-01,657.855135950061
2005-08-01,769.44771030879
2005-09-01,1174.65977685373
2005-10-01,826.961658045883
2005-11-01,682.641494009417
2005-12-01,966.043805703546
2006-01-01,507.30097467698096
2006-02-01,864.208066108876
2006-03-01,750.891797639874
2006-04-01,522.343849927064
2006-05-01,560.0951133133619
2006-06-01,530.734343430728
