DATE,NEBPPRIVSA
2004-02-01,816.628602383596
2004-03-01,714.16961967718
2004-04-01,927.6898530364889
2004-05-01,949.1951183900039
2004-06-01,798.5662405761419
2004-07-01,754.1894321747991
2004-08-01,988.1864398618069
2004-09-01,776.019643735162
2004-10-01,773.788183039736
2004-11-01,1023.60133574925
2004-12-01,1127.22542465901
2005-01-01,781.693813361118
2005-02-01,984.225381201056
2005-03-01,1084.61707190065
2005-04-01,758.5121005482581
2005-05-01,811.5894940688721
2005-06-01,889.966206440234
2005-07-01,927.255469625027
2005-08-01,917.53219096614
2005-09-01,917.49404891705
2005-10-01,1099.8644664829199
2005-11-01,769.1640809317371
2005-12-01,1007.8306858572198
2006-01-01,1160.94448828038
2006-02-01,1122.19444927112
2006-03-01,1011.17475291062
2006-04-01,625.1170944469741
