DATE,SDBPPRIVSA
2004-03-01,572.075385967809
2004-04-01,480.98843489518305
2004-05-01,455.595292007681
2004-06-01,395.74661178577
2004-07-01,516.848796929106
2004-08-01,471.63893672166495
2004-09-01,343.00870985079797
2004-10-01,479.95158665972997
2004-11-01,535.717370593452
2004-12-01,512.125762117081
2005-01-01,261.956551624317
2005-02-01,492.691375671166
2005-03-01,514.657452991796
2005-04-01,491.707421399422
2005-05-01,427.609262077126
2005-06-01,437.112966677647
2005-07-01,403.567069396265
2005-08-01,427.95515645029195
2005-09-01,570.31556738573
2005-10-01,437.974719274504
2005-11-01,608.31039807775
2005-12-01,618.77720320458
2006-01-01,1141.5431088371001
2006-02-01,997.693829210939
2006-03-01,465.334283067957
2006-04-01,416.983759928986
2006-05-01,449.592221374745
2006-06-01,493.65178012444505
