DATE,NHBPPRIVSA
2004-03-01,729.7674245144631
2004-04-01,760.7610372880549
2004-05-01,806.526517284591
2004-06-01,696.8041410782049
2004-07-01,715.67635627401
2004-08-01,615.6658599092569
2004-09-01,753.126995156862
2004-10-01,641.523717569785
2004-11-01,778.216601296557
2004-12-01,621.927417359197
2005-01-01,628.641004846692
2005-02-01,565.642550189721
2005-03-01,667.1699869219809
2005-04-01,628.196653285058
2005-05-01,693.553436538298
2005-06-01,611.1472376987181
2005-07-01,575.861867154181
2005-08-01,739.452829585824
2005-09-01,644.157026858692
2005-10-01,636.627749907163
2005-11-01,650.36635986626
2005-12-01,594.228370171444
2006-01-01,410.22702194894094
2006-02-01,610.417773802648
2006-03-01,653.388573892313
2006-04-01,511.612352561967
2006-05-01,490.91786232898903
2006-06-01,537.574832219182
2006-07-01,411.419528712219
2006-08-01,457.869875190572
2006-09-01,458.025300166327
2006-10-01,495.50259304520597
2006-11-01,416.144507536552
2006-12-01,427.172111442781
2007-01-01,459.342434486714
2007-02-01,377.656392291268
2007-03-01,403.055852782212
2007-04-01,347.676443649473
2007-05-01,382.25002546723294
2007-06-01,341.472363978202
2007-07-01,443.373448221846
2007-08-01,349.024854589269
2007-09-01,322.43212933315
2007-10-01,335.906774018844
2007-11-01,329.427876450018
2007-12-01,264.752714395963
2008-01-01,387.931693854488
2008-02-01,319.401598009826
2008-03-01,266.47400299905996
2008-04-01,332.30010072899603
2008-05-01,213.10774676115798
2008-06-01,317.977919725402
2008-07-01,290.139925862827
2008-08-01,193.66239764292098
2008-09-01,296.73249908935003
2008-10-01,202.18452723981702
2008-11-01,165.254052319717
2008-12-01,243.195015135891
2009-01-01,83.1934489230107
2009-02-01,138.152699969064
2009-03-01,131.95189665197202
2009-04-01,160.302510983217
2009-05-01,218.474859424236
2009-06-01,158.237996822777
2009-07-01,167.193709993357
2009-08-01,207.29398675422698
2009-09-01,178.013152137352
2009-10-01,208.82187987764198
2009-11-01,156.294271678551
2009-12-01,206.916323598015
2010-01-01,245.328664736525
2010-02-01,656.448749910948
2010-03-01,203.608403506114
2010-04-01,220.90381481887297
2010-05-01,169.411384601128
2010-06-01,294.37750361087103
2010-07-01,156.137987133345
2010-08-01,195.147018602975
2010-09-01,175.017769717809
2010-10-01,192.36645232926998
2010-11-01,248.72505223057098
2010-12-01,232.18424507866501
2011-01-01,135.543276077744
2011-02-01,536.906033615725
2011-03-01,219.75958443002702
2011-04-01,136.768895693515
2011-05-01,185.339304912427
2011-06-01,136.277642146567
2011-07-01,160.82006776972798
2011-08-01,155.27770395445899
2011-09-01,287.057327178431
2011-10-01,130.693151889468
2011-11-01,171.575872433295
2011-12-01,154.47026803491
2012-01-01,181.64511277248502
2012-02-01,158.6819831166
2012-03-01,183.654666887909
2012-04-01,203.240084876748
2012-05-01,218.708833461071
2012-06-01,185.959537178974
2012-07-01,195.4289309496
2012-08-01,311.310071006153
2012-09-01,178.13619929623698
2012-10-01,197.23423663098703
2012-11-01,226.138823003472
2012-12-01,237.600828643652
2013-01-01,240.983374554853
2013-02-01,242.905236621324
2013-03-01,226.462132133977
2013-04-01,198.633775824473
2013-05-01,219.162801633442
2013-06-01,302.915662135085
2013-07-01,261.973175688332
2013-08-01,164.878985337555
2013-09-01,227.15769766176498
2013-10-01,230.156985467607
2013-11-01,202.648982904768
2013-12-01,179.211163431789
2014-01-01,182.585219513472
2014-02-01,230.75676268466702
2014-03-01,191.67681877056302
2014-04-01,258.559302715521
2014-05-01,192.979065257632
2014-06-01,314.12297834743697
2014-07-01,511.957955909147
2014-08-01,328.507047232331
2014-09-01,249.386748231779
2014-10-01,311.18704940897203
2014-11-01,224.330984046159
2014-12-01,206.965015824733
2015-01-01,226.314827645083
2015-02-01,214.715841754251
2015-03-01,247.470987371044
2015-04-01,257.761041115504
2015-05-01,251.817908783344
2015-06-01,255.895331686185
2015-07-01,245.753079860187
2015-08-01,315.991185496591
2015-09-01,291.853920025575
2015-10-01,226.75853343390202
2015-11-01,233.67579422906
2015-12-01,319.389202342675
2016-01-01,275.99701435746
2016-02-01,186.870848824647
2016-03-01,301.261426560379
2016-04-01,315.541548132704
2016-05-01,311.75631235438703
2016-06-01,275.311825365979
2016-07-01,220.554925361365
2016-08-01,250.542151211609
2016-09-01,301.364801331997
2016-10-01,350.843675767444
2016-11-01,419.275144949252
2016-12-01,514.888957852198
2017-01-01,267.90970482959096
2017-02-01,352.48488006444506
2017-03-01,270.954932760598
2017-04-01,296.338495142532
2017-05-01,254.600502740723
2017-06-01,199.137699660424
2017-07-01,304.98074404067904
2017-08-01,248.50395039606
2017-09-01,347.93176011076895
2017-10-01,264.746458085765
2017-11-01,233.281216183725
2017-12-01,197.16046857560397
2018-01-01,482.12725479789395
2018-02-01,436.270167477983
2018-03-01,263.939680173932
2018-04-01,222.56192180581903
2018-05-01,337.738950905759
2018-06-01,366.411689374119
2018-07-01,272.407575399647
2018-08-01,278.145903779494
2018-09-01,237.134502514874
2018-10-01,448.35039267250295
2018-11-01,234.10429928959098
2018-12-01,243.76242135632998
2019-01-01,464.177896225358
2019-02-01,208.556537334978
2019-03-01,269.103208002354
2019-04-01,285.082207345031
2019-05-01,233.891512621014
2019-06-01,251.567725959916
2019-07-01,299.873513886584
2019-08-01,603.0501282821231
2019-09-01,240.01798449352
2019-10-01,264.011201439142
2019-11-01,303.242562082008
2019-12-01,264.050015727605
2020-01-01,307.54635765249003
2020-02-01,355.791355120394
2020-03-01,285.8312804344
2020-04-01,234.284229420365
2020-05-01,231.09511868124
2020-06-01,302.67460141901597
2020-07-01,290.988340627806
2020-08-01,286.343176986919
2020-09-01,377.19801659261805
2020-10-01,346.387165915055
2020-11-01,454.792214473824
2020-12-01,440.909305137914
2021-01-01,284.00803337241297
2021-02-01,335.290277502475
2021-03-01,439.069815960916
2021-04-01,419.481130559039
2021-05-01,547.421849718031
2021-06-01,366.54329189268896
2021-07-01,371.439195583237
2021-08-01,346.615652614581
2021-09-01,323.808267706161
2021-10-01,308.352502736753
2021-11-01,293.638615838481
2021-12-01,310.90579372182
2022-01-01,306.769827292066
2022-02-01,397.327177314413
2022-03-01,343.485891604429
2022-04-01,365.10524951490896
2022-05-01,350.334615937055
2022-06-01,335.025102346393
2022-07-01,331.794246121156
2022-08-01,401.18993025183096
2022-09-01,369.366378188349
2022-10-01,336.892349135553
2022-11-01,332.78687094313597
2022-12-01,361.43425174693704
2023-01-01,362.752614186884
2023-02-01,303.64906199160197
