DATE,DEBPPRIVSA
2004-04-01,532.186745515049
2004-05-01,677.5344883080741
2004-06-01,787.141899253594
2004-07-01,740.060491656421
2004-08-01,736.9387701402071
2004-09-01,770.66257009811
2004-10-01,744.204241507978
2004-11-01,635.4583594822091
2004-12-01,692.014897528832
2005-01-01,685.417454412448
2005-02-01,754.295495301661
2005-03-01,688.4657425288409
2005-04-01,761.330910649884
2005-05-01,643.210868614426
2005-06-01,842.337872961057
2005-07-01,636.896033180561
2005-08-01,706.7614249143919
2005-09-01,760.1691898898559
2005-10-01,703.7477979757001
2005-11-01,699.426353870011
2005-12-01,649.979990621655
2006-01-01,688.9757609175799
2006-02-01,614.7172647919
2006-03-01,567.731309464377
2006-04-01,556.2454908702671
2006-05-01,705.596133163286
2006-06-01,511.592270606677
2006-07-01,568.424947479004
