DATE,CABPPRIVSA
2007-03-01,11466.6540514982
2007-04-01,9462.60340073422
2007-05-01,9474.433528079879
2007-06-01,7553.0945214763
2007-07-01,8577.770524542371
2007-08-01,10476.7459042883
2007-09-01,6988.6382632407995
2007-10-01,7998.8068462072415
2007-11-01,6396.32245575366
2007-12-01,6223.49713455157
2008-01-01,6351.70095017938
2008-02-01,6874.94946577749
2008-03-01,4022.0132565688
2008-04-01,5894.361134046109
2008-05-01,6299.95813185054
2008-06-01,5422.117479908329
2008-07-01,4810.58811686727
2008-08-01,3638.46633639604
2008-09-01,4651.46459282462
2008-10-01,4067.45574637738
2008-11-01,4952.2262033864
2008-12-01,3701.854998668279
2009-01-01,2610.87581809288
2009-02-01,2598.85503766749
2009-03-01,2634.48625369303
2009-04-01,2864.3353966602804
2009-05-01,2438.7349866449
2009-06-01,2719.04041469279
2009-07-01,2846.1256093318298
2009-08-01,2725.0445581087197
2009-09-01,2925.21272560455
2009-10-01,3059.62180919038
2009-11-01,2862.1948596331604
2009-12-01,2924.03103458864
2010-01-01,4049.1970302567897
2010-02-01,3815.0404104785903
2010-03-01,3259.50943064952
2010-04-01,3192.8290402671
2010-05-01,2741.24333381719
2010-06-01,3551.65760054062
2010-07-01,3443.20081279612
2010-08-01,3597.71861436522
2010-09-01,3130.28358297775
2010-10-01,3378.0924377908696
2010-11-01,3398.8386174490997
2010-12-01,5575.173320621519
2011-01-01,3419.2972719157
2011-02-01,2474.39290572167
2011-03-01,4064.3270205610706
2011-04-01,3641.34963752558
2011-05-01,4173.627112771111
2011-06-01,4108.92838641786
2011-07-01,2299.19080598833
2011-08-01,4176.37323618918
2011-09-01,3801.91370720371
2011-10-01,3485.28709382284
2011-11-01,4909.029321916961
2011-12-01,4429.97943677208
2012-01-01,2895.8214962527004
2012-02-01,3648.3415049645
2012-03-01,5784.1376522825
2012-04-01,3178.9504576885197
2012-05-01,5110.95152498655
2012-06-01,4977.372864418549
2012-07-01,4986.45882783393
2012-08-01,5164.23399511973
2012-09-01,6022.96314099786
2012-10-01,5277.15175425057
2012-11-01,4438.21285771934
2012-12-01,5339.380153966579
2013-01-01,6693.64852112084
2013-02-01,7031.73675687224
2013-03-01,4602.80860303323
2013-04-01,7152.85329253826
2013-05-01,6749.84832706502
2013-06-01,5354.77968671226
2013-07-01,7041.60343996962
2013-08-01,6887.44275943855
2013-09-01,4336.26579462303
2013-10-01,6922.4121560973
2013-11-01,6984.810224539289
2013-12-01,7879.4094726800295
2014-01-01,5450.0790277999795
2014-02-01,6624.69625920051
2014-03-01,6649.25814786515
2014-04-01,7960.00280191605
2014-05-01,5814.71685710406
2014-06-01,6166.42824970161
2014-07-01,6981.62398972182
2014-08-01,5988.97060055178
2014-09-01,6838.596799345661
2014-10-01,9568.574750786758
2014-11-01,7876.1853694254405
2014-12-01,6669.1097296787
2015-01-01,9072.06336903601
2015-02-01,8037.65212901462
2015-03-01,8860.710366763471
2015-04-01,7802.08581108646
2015-05-01,7147.601555518359
2015-06-01,9599.91294983327
2015-07-01,8497.58714564748
2015-08-01,7329.40313433266
2015-09-01,8690.47862760788
2015-10-01,6233.74846697033
2015-11-01,9122.54952475361
2015-12-01,7298.874781055509
2016-01-01,8205.98291812773
2016-02-01,10151.4540591541
2016-03-01,7266.84885544495
2016-04-01,7417.49795583644
2016-05-01,9482.06703850039
2016-06-01,7362.7933893340905
2016-07-01,6236.87169253359
2016-08-01,9696.031381057359
2016-09-01,9042.11579138019
2016-10-01,8443.32055202156
2016-11-01,8411.93670905309
2016-12-01,9196.06675782325
2017-01-01,6117.49099116555
2017-02-01,7700.34093591928
2017-03-01,9642.09050501397
2017-04-01,9308.57451371884
2017-05-01,8809.92128341267
2017-06-01,11649.351522508401
2017-07-01,8322.29785054971
2017-08-01,10034.3855748386
2017-09-01,9461.636245424641
2017-10-01,10467.8105245548
2017-11-01,9176.09303016155
2017-12-01,9723.116407358779
2018-01-01,9555.12696272619
2018-02-01,10167.6167397398
2018-03-01,10986.1201601747
2018-04-01,9954.98388135058
2018-05-01,11185.314080091699
2018-06-01,10816.009327991
2018-07-01,9898.026706537701
2018-08-01,9073.88272859528
2018-09-01,7789.574262050391
2018-10-01,8742.31445670091
2018-11-01,8835.202649805
2018-12-01,8893.71526815765
2019-01-01,10162.1835366881
2019-02-01,7953.013878793359
2019-03-01,7969.015361186991
2019-04-01,8879.419389171759
2019-05-01,9323.54005085218
2019-06-01,7691.19106071773
2019-07-01,10179.5409246553
2019-08-01,8977.25514887741
2019-09-01,10277.565012871899
2019-10-01,10159.5762338051
2019-11-01,8891.43379197001
2019-12-01,9576.210789333609
2020-01-01,9377.32471936627
2020-02-01,10986.53149164
2020-03-01,7568.66253260119
2020-04-01,5852.565583003399
2020-05-01,6480.60365899357
2020-06-01,7623.50264328524
2020-07-01,10418.0332104016
2020-08-01,8229.840311111851
2020-09-01,9657.78130823982
2020-10-01,8721.99351543308
2020-11-01,9811.08987165561
2020-12-01,10707.9407433179
2021-01-01,10658.637946708
2021-02-01,9481.20129742923
2021-03-01,11110.1442463946
2021-04-01,10302.7630782529
2021-05-01,9718.55182987105
2021-06-01,9329.7330888306
2021-07-01,9719.787158357309
2021-08-01,9693.16791012599
2021-09-01,8728.178958954879
2021-10-01,11329.7854570876
2021-11-01,10258.3703714885
2021-12-01,9613.06278381634
2022-01-01,9261.07374792598
2022-02-01,10598.2440511563
2022-03-01,10280.7834666209
2022-04-01,10293.9362984982
2022-05-01,10103.5113820734
2022-06-01,10885.7921341697
2022-07-01,7699.80033554979
2022-08-01,10659.7458916777
2022-09-01,10200.759429691801
2022-10-01,7557.6465342652
2022-11-01,7997.03979004024
2022-12-01,7413.08606456702
2023-01-01,8213.453907736779
2023-02-01,9366.50300803147
