DATE,PABPPRIVSA
2003-02-01,3548.5418395958795
2003-03-01,2722.26829600526
2003-04-01,3210.65065722633
2003-05-01,3261.7816848875395
2003-06-01,3044.20215969537
2003-07-01,3773.9293748605605
2003-08-01,3667.70117609379
2003-09-01,3586.07616951185
2003-10-01,3995.59929278911
2003-11-01,3995.23737980908
2003-12-01,4546.8823506432
2004-01-01,3205.69953177302
2004-02-01,3331.2883705562394
2004-03-01,6283.2682893909305
2004-04-01,4525.636336380529
2004-05-01,3740.6877915376
2004-06-01,4149.98739875779
2004-07-01,3759.09147979025
2004-08-01,3134.5002634106104
2004-09-01,3991.29026166724
2004-10-01,2844.1803109180605
2004-11-01,3477.35043815347
2004-12-01,3510.01505694719
2005-01-01,2833.50744320268
2005-02-01,3642.3877309132704
2005-03-01,3157.5508183410698
