DATE,GABPPRIVSA
2003-05-01,6037.618564550489
2003-06-01,7467.711855945459
2003-07-01,7996.78752411323
2003-08-01,7980.55789570891
2003-09-01,9623.18380136913
2003-10-01,8718.645554050509
2003-11-01,7505.8350180159805
2003-12-01,9093.4184018079
2004-01-01,8889.85683920642
2004-02-01,7908.30519516619
2004-03-01,9173.3980844592
2004-04-01,8367.71890296345
2004-05-01,8229.622379761031
2004-06-01,8080.3532214035995
2004-07-01,9512.51237480101
2004-08-01,8282.734009140358
2004-09-01,8732.44976108414
2004-10-01,8529.22690929722
2004-11-01,11300.391664984
2004-12-01,9430.296374977672
2005-01-01,7861.257904129491
2005-02-01,8657.26717993458
2005-03-01,8243.023324344978
2005-04-01,8215.92494331282
2005-05-01,8644.28982308522
2005-06-01,8593.595434313009
2005-07-01,7757.92555281807
2005-08-01,9553.00825105964
2005-09-01,9393.48343473073
2005-10-01,8966.42541396852
2005-11-01,8928.387163846508
2005-12-01,8487.59679177368
2006-01-01,9127.352678382951
2006-02-01,8793.683822349549
2006-03-01,9450.761531468459
2006-04-01,8319.12316155462
2006-05-01,8909.38650027369
2006-06-01,8453.11844149861
2006-07-01,7625.788047506229
2006-08-01,8547.362154510229
2006-09-01,6144.4037990692605
2006-10-01,8417.7582798253
2006-11-01,7960.807744145959
2006-12-01,6811.81722820968
2007-01-01,7504.12884873345
2007-02-01,7081.815152747719
2007-03-01,6834.7416051474
2007-04-01,7748.89061721412
2007-05-01,6411.216653934611
2007-06-01,5428.05430410608
2007-07-01,5299.08852809269
2007-08-01,5096.66189448743
2007-09-01,4586.869111827899
2007-10-01,4416.23563249136
2007-11-01,4361.65112498819
2007-12-01,3271.3428699176197
2008-01-01,3768.5186156210602
2008-02-01,3479.43224897552
2008-03-01,2784.57342107247
2008-04-01,3003.90176675017
2008-05-01,2968.0565617516
2008-06-01,2932.46696067177
2008-07-01,2835.0033995803497
2008-08-01,2375.18770416643
2008-09-01,2750.45791452475
2008-10-01,2432.54538137047
2008-11-01,1097.7425286337
2008-12-01,1199.1435470636
2009-01-01,1224.54523878511
2009-02-01,1224.3731147598
2009-03-01,1212.14016684458
2009-04-01,1261.46482695726
