DATE,IDBPPRIVSA
2003-12-01,1441.6040756759
2004-01-01,1046.0116718862
2004-02-01,1168.3731625069302
2004-03-01,1445.2067153257099
2004-04-01,1290.04319788926
2004-05-01,1257.7067905837598
2004-06-01,1506.2217735097597
2004-07-01,1519.2209976485901
2004-08-01,1320.199596529
2004-09-01,1441.17648898164
2004-10-01,1384.68079677742
2004-11-01,1630.96506312671
2004-12-01,1738.00021110474
2005-01-01,1616.3189305472101
2005-02-01,1861.0403156239101
2005-03-01,1766.48416618423
2005-04-01,1676.32416693406
2005-05-01,1637.46886369285
2005-06-01,1662.19056247181
2005-07-01,1690.33075295866
2005-08-01,2023.09343664946
2005-09-01,1908.1518526485502
2005-10-01,1717.75786331259
2005-11-01,1825.08350684113
2005-12-01,1674.4028152347598
2006-01-01,1879.3411160854603
2006-02-01,1857.19643173863
2006-03-01,1551.6233341273999
2006-04-01,1591.64335908927
2006-05-01,1652.2518865851
2006-06-01,1321.81092916088
2006-07-01,1430.02715414928
2006-08-01,1345.3971874737801
2006-09-01,1243.22960637818
2006-10-01,1179.69819138587
2006-11-01,1258.91433534759
2006-12-01,1095.22741452122
2007-01-01,1425.10188403251
2007-02-01,1163.3172590898
2007-03-01,1546.3319289444298
2007-04-01,970.965120142386
2007-05-01,1169.15161024072
2007-06-01,984.757222842695
2007-07-01,1276.95184516631
2007-08-01,897.926710672104
2007-09-01,808.030003340976
2007-10-01,892.3702709667889
2007-11-01,863.2862088446981
2007-12-01,943.711866646928
2008-01-01,669.250495016129
2008-02-01,665.207174838751
2008-03-01,674.284547984673
2008-04-01,680.780798385094
2008-05-01,652.799279451497
2008-06-01,708.8160841908949
2008-07-01,538.356477581268
2008-08-01,511.867682327125
2008-09-01,590.008703073254
2008-10-01,452.618264723798
2008-11-01,326.165821564201
2008-12-01,400.076109147057
2009-01-01,745.232278381367
2009-02-01,283.12150000586496
2009-03-01,302.293006852453
2009-04-01,376.766201525882
2009-05-01,333.32598771768
2009-06-01,410.08570551752
2009-07-01,597.403078071077
2009-08-01,532.2922688923941
2009-09-01,444.96262569021104
2009-10-01,428.457563159957
2009-11-01,458.014361188993
2009-12-01,453.13717164016197
2010-01-01,533.103762353064
2010-02-01,475.187923586678
2010-03-01,562.335191735837
2010-04-01,451.919832213478
2010-05-01,345.218199256961
2010-06-01,392.493668064639
2010-07-01,276.767152767857
2010-08-01,226.295785342351
2010-09-01,271.607081142926
2010-10-01,336.895263250645
2010-11-01,557.575039333967
2010-12-01,261.702279602888
2011-01-01,265.09622341993
2011-02-01,331.07661788898497
2011-03-01,279.40267864039004
2011-04-01,271.434984182299
2011-05-01,321.161082438666
2011-06-01,348.344752961934
2011-07-01,379.31517041125505
2011-08-01,390.286356563971
2011-09-01,451.89992590412203
2011-10-01,376.41925411047094
2011-11-01,412.296242451436
2011-12-01,357.78836924392306
2012-01-01,505.31297658580706
2012-02-01,436.26149758818
2012-03-01,472.724637883398
2012-04-01,563.909023160408
2012-05-01,572.883968835198
2012-06-01,488.122215688613
2012-07-01,626.6875976606759
2012-08-01,669.770300754597
2012-09-01,508.22180018329595
2012-10-01,530.040813079433
2012-11-01,665.932490687679
2012-12-01,577.7938760359
2013-01-01,559.8232551334011
2013-02-01,665.698809971281
2013-03-01,582.681319614692
2013-04-01,650.445570487425
2013-05-01,722.6101452492791
2013-06-01,695.048935599115
2013-07-01,729.651905775232
2013-08-01,642.64350813736
2013-09-01,766.6445510134849
2013-10-01,877.7032075492909
2013-11-01,712.546126644536
2013-12-01,904.380092147029
2014-01-01,723.3011936911231
2014-02-01,764.3031041465871
2014-03-01,854.1321458572771
2014-04-01,720.138875634805
2014-05-01,776.213007410672
2014-06-01,721.619272220061
2014-07-01,624.513603735454
2014-08-01,704.7988029247771
2014-09-01,740.028925431566
2014-10-01,934.4781830785311
2014-11-01,648.9090249828901
2014-12-01,934.466013578857
2015-01-01,708.311191582518
2015-02-01,719.855395564897
2015-03-01,719.406400819897
2015-04-01,1030.80931467635
