DATE,VTBPPRIVSA
2004-04-01,354.563048685219
2004-05-01,316.071122519235
2004-06-01,314.826119172442
2004-07-01,272.000974748352
2004-08-01,213.416575911289
2004-09-01,293.72214763140704
2004-10-01,254.158181959352
2004-11-01,289.65068491447397
2004-12-01,266.80472726535197
2005-01-01,211.95316607383302
2005-02-01,219.23452563280102
2005-03-01,203.249990926186
2005-04-01,256.51520096844297
2005-05-01,360.97108689164
2005-06-01,250.207457143768
2005-07-01,232.061840401418
2005-08-01,257.22133767443404
2005-09-01,285.605886722144
2005-10-01,236.02764683623298
2005-11-01,155.429141543415
2005-12-01,221.25413400735198
2006-01-01,262.86435889009
2006-02-01,286.240481421338
2006-03-01,339.700664426526
2006-04-01,199.025232206925
2006-05-01,250.094297442401
2006-06-01,234.355891804146
2006-07-01,244.825526923476
