DATE,LABPPRIVSA
1998-07-01,1303.58520586784
1998-08-01,1394.7562879298998
1998-09-01,1393.6250717752403
1998-10-01,1496.20135348954
1998-11-01,1196.39031135388
1998-12-01,1327.9210688897801
1999-01-01,1395.6744631247198
1999-02-01,1548.10451478218
1999-03-01,1465.0399598289903
1999-04-01,1353.29861239095
1999-05-01,1269.60513143146
1999-06-01,1552.27658913581
1999-07-01,1942.4873937370498
1999-08-01,1333.6738611428698
1999-09-01,1268.87234825661
1999-10-01,1119.19079019432
1999-11-01,1323.14751426556
1999-12-01,1251.1233136941498
2000-01-01,1284.2864182603098
2000-02-01,1373.8581154667802
2000-03-01,1313.60298604953
2000-04-01,952.2893831674071
2000-05-01,1147.2701697136
2000-06-01,979.799893013042
2000-07-01,1138.70975879798
2000-08-01,1118.52890663078
2000-09-01,1255.20104269481
2000-10-01,1119.96090613298
2000-11-01,1078.1882524059401
2000-12-01,1212.7737214526599
2001-01-01,1519.92011049774
2001-02-01,1075.54231269123
2001-03-01,1157.63278017301
2001-04-01,1133.15993811804
2001-05-01,1496.28027747449
2001-06-01,1214.25888934394
2001-07-01,1341.43374592873
2001-08-01,1300.01431373845
2001-09-01,1328.8969167899302
2001-10-01,1427.8128433310999
2001-11-01,1281.34163043434
2001-12-01,1164.1104646638
2002-01-01,1382.79577777509
2002-02-01,1424.9251243555402
2002-03-01,1438.37709012581
2002-04-01,1331.6070124301
2002-05-01,1563.25269191881
2002-06-01,1049.3811986088301
2002-07-01,2160.95082502124
2002-08-01,1599.5775703906
2002-09-01,1336.92017188989
2002-10-01,1343.32167340769
2002-11-01,1420.86798055632
2002-12-01,1962.86078085994
2003-01-01,1536.33512711715
2003-02-01,1347.5651999080499
2003-03-01,1147.81575599392
2003-04-01,1613.2523754522902
2003-05-01,1873.1086888237
2003-06-01,1957.6468799844897
2003-07-01,1828.0533759236498
