DATE,MTBPPRIVSA
2004-03-01,240.32912565998402
2004-04-01,374.172046204608
2004-05-01,260.220642259079
2004-06-01,267.094583063965
2004-07-01,435.092258173004
2004-08-01,361.22829831494204
2004-09-01,456.41648871522904
2004-10-01,292.259207528182
2004-11-01,484.15983047396696
2004-12-01,545.310804650483
2005-01-01,478.76023401688303
2005-02-01,300.584812599262
2005-03-01,517.373100544433
2005-04-01,420.022839206725
2005-05-01,461.31511412215895
2005-06-01,338.521193071316
2005-07-01,433.567157463537
2005-08-01,489.482906720735
2005-09-01,422.99615882803903
2005-10-01,463.466804260126
2005-11-01,422.522205168148
2005-12-01,448.755339317259
2006-01-01,864.320991222941
2006-02-01,380.18414224626196
2006-03-01,366.23256085180395
2006-04-01,350.52914216118796
2006-05-01,402.649002659553
2006-06-01,414.752761159408
2006-07-01,367.79264305719397
2006-08-01,351.05659574455706
2006-09-01,365.67671448981696
2006-10-01,330.604531009076
2006-11-01,336.15737625659
2006-12-01,406.727511615737
2007-01-01,417.399352282378
2007-02-01,493.849637173617
2007-03-01,386.741584552242
2007-04-01,404.383075836343
2007-05-01,452.523056119407
2007-06-01,453.782082915934
2007-07-01,347.424246837867
2007-08-01,279.98017634650796
2007-09-01,266.60501319344297
2007-10-01,331.53872062085
2007-11-01,330.315836281123
2007-12-01,280.670062890682
2008-01-01,225.011985097743
2008-02-01,350.865427462505
2008-03-01,219.713588842669
2008-04-01,257.691483003359
2008-05-01,226.012207608092
2008-06-01,213.222186962757
2008-07-01,218.664491459632
2008-08-01,218.159938347566
2008-09-01,191.81991014531
2008-10-01,158.823123278467
2008-11-01,116.540151154913
2008-12-01,128.035848354626
2009-01-01,131.419990680816
2009-02-01,116.104477916828
2009-03-01,103.71104762911399
2009-04-01,86.7745387919923
2009-05-01,132.38690605378798
2009-06-01,235.586442893806
2009-07-01,233.127831354375
2009-08-01,123.471435808743
2009-09-01,149.153820621253
2009-10-01,124.732994105929
2009-11-01,177.05468130035499
2009-12-01,116.659471393339
2010-01-01,180.451711903102
2010-02-01,178.517701261332
2010-03-01,187.69872833738202
2010-04-01,215.194229258511
2010-05-01,174.781396220108
2010-06-01,163.05562997509898
2010-07-01,146.922015197822
2010-08-01,174.476161513994
2010-09-01,216.556620421016
2010-10-01,147.330892161915
2010-11-01,168.155235249931
2010-12-01,208.129460350171
2011-01-01,105.878529711386
2011-02-01,118.85906718316
2011-03-01,149.307699395168
2011-04-01,101.733809321432
2011-05-01,133.83876729418301
2011-06-01,300.58171109974603
2011-07-01,142.001459544385
2011-08-01,173.57888037486802
2011-09-01,147.233321538563
2011-10-01,293.913694511618
2011-11-01,144.773446242512
2011-12-01,204.88626334720902
2012-01-01,172.301308858626
2012-02-01,185.076769475901
2012-03-01,255.01417443853
2012-04-01,289.198133327761
2012-05-01,163.158448667176
2012-06-01,178.245601835173
2012-07-01,162.22637712774
2012-08-01,467.306297135069
2012-09-01,247.993691379226
2012-10-01,232.188829458849
2012-11-01,307.504722947984
2012-12-01,181.90760008367297
2013-01-01,311.72188917893396
2013-02-01,323.062361306512
2013-03-01,349.04134936859396
2013-04-01,280.149856231031
2013-05-01,263.324117301733
2013-06-01,222.693325150314
2013-07-01,427.994610567805
2013-08-01,598.435730098351
2013-09-01,156.179565841878
2013-10-01,192.97685199167998
2013-11-01,712.530913689196
2013-12-01,139.83828044777098
2014-01-01,235.830690403929
2014-02-01,126.459640831968
2014-03-01,175.681741836644
2014-04-01,232.67428709327302
2014-05-01,264.118102677146
2014-06-01,267.747860254986
2014-07-01,391.085376469691
2014-08-01,274.34598604238204
2014-09-01,290.324262229986
2014-10-01,312.218242066372
