DATE,NVBPPRIVSA
2003-02-01,3960.99712533318
2003-03-01,3021.00670123791
2003-04-01,2858.8031153413694
2003-05-01,3048.94220449274
2003-06-01,3377.3724797012896
2003-07-01,4327.055678027949
2003-08-01,3505.2106633482103
2003-09-01,4120.47229205323
2003-10-01,4029.3932154490294
2003-11-01,3113.35600366628
2003-12-01,4500.33574011721
2004-01-01,3992.93458078379
2004-02-01,3812.94041212827
2004-03-01,3261.5037947538
2004-04-01,4104.632266089589
2004-05-01,5069.136425793939
2004-06-01,3614.1326948473707
2004-07-01,3785.99179192954
2004-08-01,2689.04808085823
2004-09-01,3460.80898238995
2004-10-01,2847.0644443535602
2004-11-01,3212.01904359153
2004-12-01,2878.9550385593298
2005-01-01,2603.74430361587
2005-02-01,3676.9159532392296
2005-03-01,3218.3050649607103
