DATE,ORBPPRIVSA
2010-02-01,683.009212191541
2010-03-01,700.454185166396
2010-04-01,645.401381757507
2010-05-01,550.637141286555
2010-06-01,802.0540243475259
2010-07-01,437.883619938328
2010-08-01,787.104877231141
2010-09-01,562.463497746704
2010-10-01,474.418335410078
2010-11-01,614.262436901597
2010-12-01,770.299655531345
2011-01-01,557.802150982651
2011-02-01,606.1720916166649
2011-03-01,953.264083685974
2011-04-01,627.5799117907679
2011-05-01,482.371609924976
2011-06-01,634.414808263768
2011-07-01,696.712112380143
2011-08-01,532.128740338142
2011-09-01,750.363272684459
2011-10-01,761.7602649870689
2011-11-01,712.271552828783
2011-12-01,716.352284124155
2012-01-01,764.964033768594
2012-02-01,774.577973105811
2012-03-01,736.82400551434
2012-04-01,838.974069509486
2012-05-01,1148.99174798474
2012-06-01,751.87278972301
2012-07-01,931.171475439476
2012-08-01,1042.5670556226598
2012-09-01,1115.82254332003
2012-10-01,1064.97946829857
2012-11-01,909.477057595985
2012-12-01,904.6688077439079
2013-01-01,1213.1863921925399
2013-02-01,1724.6619890361499
2013-03-01,1158.75400744908
2013-04-01,1403.37525344068
2013-05-01,1057.90886056775
2013-06-01,1140.8917105119901
2013-07-01,1332.01034854095
2013-08-01,1138.78335772126
2013-09-01,866.3403482184849
2013-10-01,1213.53849087819
2013-11-01,994.3187296985691
2013-12-01,1120.5175517402001
2014-01-01,1428.08591938633
2014-02-01,933.0028370170621
2014-03-01,1100.3385806571
2014-04-01,1398.45691367913
2014-05-01,2062.9855923310997
2014-06-01,1265.1018696745698
2014-07-01,1207.13583987854
2014-08-01,935.362048240087
2014-09-01,1262.26344690052
2014-10-01,1883.19280611959
2014-11-01,1131.94561562065
2014-12-01,1115.69910505752
2015-01-01,921.642594352111
2015-02-01,1611.8153877461402
2015-03-01,952.644776397895
2015-04-01,1056.85729545461
2015-05-01,1223.0260954132598
2015-06-01,1812.6670810387802
2015-07-01,1240.3636789066802
2015-08-01,1260.68349687414
2015-09-01,1648.94852729425
2015-10-01,1637.06211449953
2015-11-01,1560.65116559059
2015-12-01,1504.74685194828
2016-01-01,1448.82915843512
2016-02-01,1527.0299663219
2016-03-01,1740.61628926508
2016-04-01,1410.8110282698801
2016-05-01,1815.71020409689
2016-06-01,1339.7376915231698
2016-07-01,1851.7754750647898
2016-08-01,1761.94842901943
2016-09-01,1521.5889131655401
2016-10-01,1329.9383049995802
2016-11-01,1683.48645112217
2016-12-01,1179.94239050693
2017-01-01,1756.67909184572
2017-02-01,1339.21722194257
2017-03-01,1404.81231210237
2017-04-01,993.550509920417
2017-05-01,1787.02155548089
2017-06-01,1966.00726190536
2017-07-01,1594.73923013983
2017-08-01,2405.25806968508
2017-09-01,1703.81469368129
2017-10-01,1451.3734745648499
2017-11-01,1844.4730280731399
2017-12-01,1875.18086702913
2018-01-01,2330.74239016606
2018-02-01,1992.98449276881
2018-03-01,1476.77283055237
2018-04-01,1499.62724306417
2018-05-01,1414.0369081373801
2018-06-01,1406.6954840984802
2018-07-01,1203.1060265337899
2018-08-01,1537.62969156607
2018-09-01,1474.75252437427
2018-10-01,1808.75721905399
2018-11-01,1945.43790288446
2018-12-01,1600.72745129824
2019-01-01,1544.47885992115
2019-02-01,1781.1441880975897
2019-03-01,1965.68481951251
2019-04-01,1732.85225954168
2019-05-01,1667.27657680988
2019-06-01,1331.8609991789301
2019-07-01,1577.61325905011
2019-08-01,1730.39122746116
2019-09-01,2089.02123468632
2019-10-01,2213.53959339563
2019-11-01,1194.20209762696
2019-12-01,1929.7890639490802
2020-01-01,1303.40110991842
2020-02-01,1004.4694655815899
2020-03-01,1837.84384305053
2020-04-01,1709.70149154231
2020-05-01,1289.4631266403599
2020-06-01,1557.30068373103
2020-07-01,1295.15782191273
2020-08-01,1534.0971094189301
2020-09-01,1058.09783010413
2020-10-01,1566.1443003150198
2020-11-01,1475.45368455607
2020-12-01,1634.94372695728
2021-01-01,1325.13654554699
2021-02-01,1643.00796142448
2021-03-01,2065.8183259799
2021-04-01,1928.8077007505603
2021-05-01,1878.5356865663
2021-06-01,1594.4328730706197
2021-07-01,1954.9390095499803
2021-08-01,1589.74552361428
2021-09-01,1607.1540978322303
2021-10-01,1455.48587994416
2021-11-01,1758.4372423512198
2021-12-01,1646.9879050221
2022-01-01,1676.43611164948
2022-02-01,2167.59426215683
2022-03-01,1403.1428047252402
2022-04-01,1643.63443577987
2022-05-01,1513.2296533678198
2022-06-01,1964.3288141233102
2022-07-01,1882.3745975268398
2022-08-01,1372.2014596049198
2022-09-01,2487.97269282391
2022-10-01,1129.24258545313
2022-11-01,1036.91779682107
2022-12-01,1762.6533488317898
2023-01-01,1899.4561073222303
2023-02-01,1679.30919158099
