DATE,MIBPPRIVSA
2003-02-01,3848.34816379546
2003-03-01,3664.8361994026704
2003-04-01,3993.3875369427
2003-05-01,4040.96285459479
2003-06-01,4366.73076136962
2003-07-01,4283.60693901852
2003-08-01,4192.34346581469
2003-09-01,5058.466118283621
2003-10-01,4879.28092648349
2003-11-01,3939.6517901132897
2003-12-01,4453.37330149826
2004-01-01,4228.434646652609
2004-02-01,4606.633571170039
2004-03-01,4624.9938519587295
2004-04-01,4658.172771942511
2004-05-01,3731.91978843895
2004-06-01,3977.3228226286205
2004-07-01,4481.57652662244
2004-08-01,4221.48169123351
2004-09-01,4475.2260601301
2004-10-01,4306.47742986156
2004-11-01,4758.40512007685
2004-12-01,4237.42159783628
2005-01-01,4318.22708634948
2005-02-01,6750.39411277539
2005-03-01,3709.4066600236206
2005-04-01,4061.97040660615
2005-05-01,3763.12119196914
2005-06-01,3940.97492202807
2005-07-01,3665.2885327596296
2005-08-01,3676.48724478587
2005-09-01,3507.41934619648
2005-10-01,3372.12258953268
2005-11-01,4325.61003160605
2005-12-01,3100.5331179236305
2006-01-01,3410.2262454786896
2006-02-01,3248.85423027692
2006-03-01,3160.10374663713
2006-04-01,2676.9763820930702
2006-05-01,3046.7304137577803
2006-06-01,2605.5056214916103
2006-07-01,2433.3377369496397
2006-08-01,2429.8032314131697
2006-09-01,2195.58167137507
2006-10-01,2153.39219570471
2006-11-01,2139.35339193356
2006-12-01,2183.3045264009397
2007-01-01,1820.35385772795
2007-02-01,1647.0421203123499
2007-03-01,1769.0832449408801
2007-04-01,1658.5922548712301
2007-05-01,1707.9710001172698
2007-06-01,1554.0827741243802
2007-07-01,1642.09645522553
2007-08-01,1767.18417935395
2007-09-01,1555.42838662232
2007-10-01,1432.0245028854401
2007-11-01,1323.7759380333198
2007-12-01,1035.43391238303
2008-01-01,1236.1299900404301
2008-02-01,1147.40177769473
2008-03-01,704.71242210942
2008-04-01,1112.44443420209
2008-05-01,1014.3426177341199
2008-06-01,1054.51480357982
2008-07-01,936.5273770824699
2008-08-01,743.292555974953
2008-09-01,831.6230617169881
2008-10-01,1058.59935714993
2008-11-01,605.093652635102
2008-12-01,571.048290818532
2009-01-01,491.30075595494003
2009-02-01,485.172381470604
2009-03-01,409.11645578184
2009-04-01,524.880575726179
2009-05-01,549.7798861704989
2009-06-01,556.7511487433641
2009-07-01,645.0558077128189
2009-08-01,617.368727309554
2009-09-01,681.938182722541
2009-10-01,674.207419010802
2009-11-01,610.590733683782
