DATE,COBPPRIVSA
2003-04-01,3244.73125258971
2003-05-01,3194.50177447645
2003-06-01,3086.71744198781
2003-07-01,3522.44492629521
2003-08-01,3270.49300472047
2003-09-01,3022.4406203666804
2003-10-01,4871.65222638478
2003-11-01,3454.4028806269002
2003-12-01,3375.06532322647
2004-01-01,3688.2762118066603
2004-02-01,3365.4090007465697
2004-03-01,4012.4450717644604
2004-04-01,3927.09452446286
2004-05-01,3875.00413822365
2004-06-01,3666.8900241199394
2004-07-01,3695.28657340378
2004-08-01,3696.28640133627
2004-09-01,3947.159535577
2004-10-01,3655.4941809895204
2004-11-01,3358.09628217534
2004-12-01,3977.01222134846
2005-01-01,3971.731116752
2005-02-01,3643.36635105104
2005-03-01,3834.3413357646996
2005-04-01,3735.4993663922205
2005-05-01,3402.7120683495
2005-06-01,3478.71211999352
2005-07-01,4037.60543092334
2005-08-01,3780.64711073757
2005-09-01,4082.21022822818
2005-10-01,3674.06535783814
2005-11-01,4243.2797409977
2005-12-01,3549.04473877456
2006-01-01,3853.497703382
2006-02-01,3921.2102545645503
2006-03-01,4029.74748060295
2006-04-01,3270.34445457333
2006-05-01,3607.2850410501
2006-06-01,3542.6777913885603
2006-07-01,2894.42578663907
2006-08-01,3160.42884366274
2006-09-01,3029.14580557051
2006-10-01,2434.43589425335
2006-11-01,2687.88132859105
2006-12-01,2762.17117399802
2007-01-01,2621.56768265558
2007-02-01,2471.6415791913396
2007-03-01,2528.69021905833
2007-04-01,2706.87220217925
2007-05-01,2602.33242939215
2007-06-01,3083.2733251241402
2007-07-01,2466.91717677807
2007-08-01,2449.11508286344
2007-09-01,1961.49084005875
2007-10-01,2719.9642297377
2007-11-01,2147.57032438013
2007-12-01,2304.30219751503
2008-01-01,2107.14449930517
2008-02-01,2029.5850673148498
2008-03-01,1541.1228903504502
2008-04-01,1722.2555031558
2008-05-01,2249.6174426143803
2008-06-01,1533.72761493393
2008-07-01,1522.0718048115302
2008-08-01,1622.22612748537
2008-09-01,1459.75397313332
2008-10-01,1959.84470768155
2008-11-01,1034.7424052935
2008-12-01,589.956935719026
2009-01-01,641.258723687468
2009-02-01,758.3979143921421
2009-03-01,604.0443794751191
2009-04-01,995.422285855938
2009-05-01,739.8028500528211
2009-06-01,741.820413832839
2009-07-01,1109.86199015361
2009-08-01,681.4909872496411
2009-09-01,932.83872015806
2009-10-01,638.788776230002
2009-11-01,662.348133839939
2009-12-01,863.636279571079
2010-01-01,896.0442559885539
2010-02-01,1082.42679127759
2010-03-01,1383.80127644608
2010-04-01,795.6119791033051
2010-05-01,770.169772753714
2010-06-01,812.778351306055
2010-07-01,763.6689588021271
2010-08-01,756.9423380132829
2010-09-01,1383.97273240029
2010-10-01,809.112172726306
2010-11-01,980.2417128995261
2010-12-01,1103.18754598069
2011-01-01,864.484370706079
2011-02-01,632.535297769488
2011-03-01,1127.4954917158198
2011-04-01,984.100730387643
2011-05-01,1025.7973093017401
2011-06-01,1038.5568003118801
2011-07-01,1344.1586233108999
2011-08-01,1378.05801656489
2011-09-01,1230.38676753637
2011-10-01,1458.31569899983
2011-11-01,1139.77639057072
2011-12-01,1158.41934225498
2012-01-01,1351.6878931878
2012-02-01,1003.39929188422
2012-03-01,1434.7371623295599
2012-04-01,1847.8906456091602
2012-05-01,1847.64539555875
2012-06-01,2030.5213868417397
2012-07-01,1878.9279652055102
2012-08-01,2199.97293805903
2012-09-01,1576.44551519422
2012-10-01,1792.46235811026
2012-11-01,2424.6390295450897
2012-12-01,1899.28650908542
2013-01-01,2588.43801611278
2013-02-01,2207.16712729103
2013-03-01,2287.6402189776604
2013-04-01,1662.9454540595002
2013-05-01,2540.29393991908
2013-06-01,2056.7196345862303
2013-07-01,2014.8194588695103
2013-08-01,2423.29370795745
2013-09-01,2122.79940250534
2013-10-01,2316.56805577524
2013-11-01,2420.07696895503
2013-12-01,2561.83448833923
2014-01-01,2088.28315658593
2014-02-01,2562.70764249796
2014-03-01,2656.71653161794
2014-04-01,2297.1058865093105
2014-05-01,2097.47994374239
2014-06-01,2263.15331137606
2014-07-01,2739.38276819143
2014-08-01,2236.4761211628897
2014-09-01,2794.3472069562395
2014-10-01,3248.58759978866
2014-11-01,2051.05759673302
2014-12-01,2192.89256426795
2015-01-01,1928.4402488460603
2015-02-01,2224.4383757106502
2015-03-01,2437.13777954969
2015-04-01,2649.1031937921302
2015-05-01,2562.6687615525
2015-06-01,2858.25076266211
2015-07-01,2632.8838313864803
2015-08-01,2503.3678744752
2015-09-01,2669.83988154126
