DATE,MEBPPRIVSA
2004-04-01,832.230524296612
2004-05-01,734.444552954634
2004-06-01,739.100841328446
2004-07-01,607.809905557583
2004-08-01,594.072846800752
2004-09-01,706.665183318854
2004-10-01,653.954354340453
2004-11-01,867.0089706041879
2004-12-01,860.811320541555
2005-01-01,668.687986099918
2005-02-01,756.941408358674
2005-03-01,709.4832277627299
2005-04-01,679.1352728041829
2005-05-01,725.443563736985
2005-06-01,727.60413275826
2005-07-01,681.103865111414
2005-08-01,780.3560809783189
2005-09-01,835.957720663349
2005-10-01,677.413575956664
2005-11-01,722.596515435281
2005-12-01,725.8783598013589
2006-01-01,714.9401749854849
2006-02-01,710.062314214133
2006-03-01,692.933320139916
2006-04-01,666.622737482347
2006-05-01,571.515630085463
2006-06-01,585.561124480605
2006-07-01,538.87681821787
2006-08-01,600.820596278735
2006-09-01,499.00642472424005
2006-10-01,589.773720860455
2006-11-01,570.630489345926
2006-12-01,527.624322958425
2007-01-01,559.784211158677
2007-02-01,505.06106515867896
2007-03-01,555.322221529944
2007-04-01,511.76070603741096
2007-05-01,471.587220658102
2007-06-01,536.497180887216
2007-07-01,563.544257681785
2007-08-01,525.423981933559
2007-09-01,415.647455566807
2007-10-01,481.73975971228697
2007-11-01,325.888801561062
2007-12-01,346.161687886371
2008-01-01,353.87955381300003
2008-02-01,294.57374457887903
2008-03-01,340.128919466287
2008-04-01,298.334400149112
2008-05-01,316.623297197665
2008-06-01,406.374716541576
2008-07-01,282.54277478210497
2008-08-01,262.954716722211
2008-09-01,284.281129972026
2008-10-01,252.58025460368302
2008-11-01,235.276663556529
2008-12-01,199.601323611987
2009-01-01,190.46550455335301
2009-02-01,218.93275727890997
2009-03-01,197.14377688762798
2009-04-01,191.454818723274
2009-05-01,215.470648584379
2009-06-01,203.50922527684298
2009-07-01,289.569576479081
2009-08-01,198.416164509959
2009-09-01,249.47628341384998
2009-10-01,224.432613337157
2009-11-01,245.813179566338
2009-12-01,294.568838219425
2010-01-01,180.305858074553
2010-02-01,370.29044077370696
2010-03-01,246.955598109784
2010-04-01,276.060444633807
2010-05-01,284.543795524443
2010-06-01,261.633537600014
2010-07-01,257.490571413119
2010-08-01,255.465285713707
2010-09-01,257.74007300380197
2010-10-01,234.44984203632703
2010-11-01,221.867146986964
2010-12-01,314.697857686382
2011-01-01,208.040832923724
2011-02-01,121.990257454452
2011-03-01,183.49299255955398
2011-04-01,192.73675787509498
2011-05-01,167.627495356988
2011-06-01,167.614332931306
2011-07-01,197.669641132571
2011-08-01,191.38105425872502
2011-09-01,165.379986567185
2011-10-01,216.203455601509
2011-11-01,225.647334772189
2011-12-01,188.28921632183798
2012-01-01,228.462151064941
2012-02-01,240.270354966833
2012-03-01,208.693462386
2012-04-01,226.53934869761397
2012-05-01,208.082331947716
2012-06-01,235.708183303924
2012-07-01,223.059068921345
2012-08-01,236.121786003121
2012-09-01,244.30568651639302
2012-10-01,191.630055607939
2012-11-01,251.40831004073502
2012-12-01,177.274078452945
2013-01-01,222.952447316427
2013-02-01,225.164185597373
2013-03-01,276.55621852684203
2013-04-01,264.877567136404
2013-05-01,296.235167620541
2013-06-01,238.659267613399
2013-07-01,229.036780258424
2013-08-01,255.009581236082
2013-09-01,254.465336654175
2013-10-01,271.058894644382
2013-11-01,302.932720136446
2013-12-01,293.297735936832
2014-01-01,288.741492368822
2014-02-01,261.438054604951
2014-03-01,217.932449742586
2014-04-01,225.373990372632
2014-05-01,274.082164035542
2014-06-01,277.350174054142
2014-07-01,289.264251891364
2014-08-01,265.963391805555
2014-09-01,273.63691294735696
2014-10-01,305.321459078725
2014-11-01,255.74734149528197
2014-12-01,273.459673963422
2015-01-01,307.812832755125
2015-02-01,98.33118971357891
2015-03-01,338.632945116751
2015-04-01,233.318682276048
2015-05-01,287.596632528269
2015-06-01,351.517291472637
2015-07-01,293.318123756395
2015-08-01,295.702730026647
2015-09-01,386.489522932968
2015-10-01,324.006783470455
2015-11-01,278.309869503988
2015-12-01,347.51369549588503
2016-01-01,297.548908342682
2016-02-01,312.59558254366
2016-03-01,336.402907625722
2016-04-01,405.203581484717
2016-05-01,359.001345502778
2016-06-01,339.92700395868695
2016-07-01,401.77382621391996
2016-08-01,339.784296239507
2016-09-01,309.123946401762
2016-10-01,314.09812526155497
2016-11-01,376.70131299212096
2016-12-01,408.750179108539
2017-01-01,347.976531410307
2017-02-01,380.211047534067
2017-03-01,369.3432301949
2017-04-01,437.499561961247
2017-05-01,303.055685460667
2017-06-01,356.16002728276396
2017-07-01,348.452620644339
2017-08-01,432.196580024763
2017-09-01,368.845656104713
2017-10-01,298.213722236505
2017-11-01,614.405483475645
2017-12-01,386.116486301432
2018-01-01,317.992403865737
2018-02-01,450.87909984605795
2018-03-01,280.747414130153
2018-04-01,303.753224296985
2018-05-01,359.616308260997
2018-06-01,346.48343886766196
2018-07-01,290.65518698083
2018-08-01,315.41071379570303
2018-09-01,405.160514647696
2018-10-01,424.19104081251
2018-11-01,413.37928961057196
2018-12-01,402.89364680693296
2019-01-01,568.771411890185
2019-02-01,584.701930581769
2019-03-01,695.7109388208569
2019-04-01,281.659038351017
2019-05-01,355.785173860674
2019-06-01,315.626336727067
2019-07-01,386.088738141574
2019-08-01,403.22677341965203
2019-09-01,317.84816095985
2019-10-01,390.70024167686597
2019-11-01,344.78765274360296
2019-12-01,278.461671662571
2020-01-01,359.063841333423
2020-02-01,393.098779281744
2020-03-01,421.23038863567706
2020-04-01,426.81597354672095
2020-05-01,321.518193125605
2020-06-01,457.187729654194
2020-07-01,462.621374761643
2020-08-01,434.431122805436
2020-09-01,611.339145203027
2020-10-01,557.618879713411
2020-11-01,508.731381640186
2020-12-01,551.992624362514
2021-01-01,686.8608907936509
2021-02-01,429.878973690367
2021-03-01,559.228366934572
2021-04-01,565.907089516425
2021-05-01,597.375935147938
2021-06-01,605.360628288715
2021-07-01,618.558361781177
2021-08-01,558.045794019186
2021-09-01,434.03148196120003
2021-10-01,478.668764441994
2021-11-01,554.713631470387
2021-12-01,886.8057157772
2022-01-01,651.451238206559
2022-02-01,1377.45166250686
2022-03-01,467.125848966094
2022-04-01,557.175138282978
2022-05-01,510.70161901579297
2022-06-01,446.10955298138606
2022-07-01,443.24449784361997
2022-08-01,483.031521925754
2022-09-01,443.285046862321
2022-10-01,398.75992792648003
2022-11-01,450.950654979706
2022-12-01,458.29073954585897
2023-01-01,379.352371987406
2023-02-01,422.267437772127
