DATE,CTBPPRIVSA
2004-01-01,949.222592418951
2004-02-01,868.67549639909
2004-03-01,992.39806523498
2004-04-01,943.429184978537
2004-05-01,798.283312847175
2004-06-01,988.47054923267
2004-07-01,967.616558436476
2004-08-01,1023.9677450529599
2004-09-01,1023.15160349262
2004-10-01,844.8773266460471
2004-11-01,1478.7211206090801
2004-12-01,972.765971526147
2005-01-01,898.32692478959
2005-02-01,899.3408427250259
2005-03-01,929.7978022583569
2005-04-01,878.336398326575
2005-05-01,986.7080959497611
2005-06-01,945.806517339242
2005-07-01,860.640620789507
2005-08-01,1009.84715328545
2005-09-01,1045.76647335608
2005-10-01,784.015039861134
2005-11-01,1090.05136371495
2005-12-01,1106.49939903591
2006-01-01,787.0497486485569
2006-02-01,1125.5577193930499
2006-03-01,1008.0042541291301
2006-04-01,754.2213394475509
