DATE,RIBPPRIVSA
2004-03-01,194.515137100636
2004-04-01,385.908782628986
2004-05-01,184.243725199661
2004-06-01,178.65298232710498
2004-07-01,192.66323268225
2004-08-01,235.623087127757
2004-09-01,227.518893708026
2004-10-01,145.644156933182
2004-11-01,196.827304309373
2004-12-01,180.134077596109
2005-01-01,165.66197456432
2005-02-01,194.246896061757
2005-03-01,185.56839841781502
2005-04-01,185.860495173465
2005-05-01,196.878429831381
2005-06-01,237.86901673207802
2005-07-01,250.514296308884
2005-08-01,187.82789153602502
2005-09-01,291.83694389464597
2005-10-01,173.63584663689602
2005-11-01,208.43125661732398
2005-12-01,704.2147345523849
2006-01-01,252.689237209272
2006-02-01,238.513994944572
2006-03-01,261.802465571942
2006-04-01,162.238253804983
2006-05-01,190.894041136022
2006-06-01,183.711458057357
