DATE,NDBPPRIVSA
2004-03-01,486.050884020272
2004-04-01,414.666308599235
2004-05-01,281.275844755839
2004-06-01,361.38032789376
2004-07-01,351.425986358097
2004-08-01,251.627247300434
2004-09-01,293.399423993544
2004-10-01,254.661941216927
2004-11-01,211.70110294894502
2004-12-01,389.467302098637
2005-01-01,94.1766328771009
2005-02-01,1575.1224301857
2005-03-01,419.803373394451
2005-04-01,266.035771442446
2005-05-01,311.446076114819
2005-06-01,242.889604351694
2005-07-01,209.720581986582
2005-08-01,247.194277545922
2005-09-01,270.493040881781
2005-10-01,358.873499671278
2005-11-01,311.074983882394
2005-12-01,793.4732653955791
2006-01-01,88.9748725641687
2006-02-01,156.788572301757
2006-03-01,235.29389069847198
2006-04-01,232.678817608969
2006-05-01,250.381788456376
2006-06-01,361.031450227977
