DATE,NYBPPRIVSA
2007-02-01,4311.48409027651
2007-03-01,5489.5157541401095
2007-04-01,4781.42945688068
2007-05-01,4506.21308451171
2007-06-01,4261.46589738889
2007-07-01,5036.06540782567
2007-08-01,4304.91148466928
2007-09-01,4258.38859171303
2007-10-01,5232.28807713937
2007-11-01,3949.6979421484
2007-12-01,4363.9415914695
2008-01-01,3738.73601098425
2008-02-01,3651.55191008949
2008-03-01,2158.06097643026
2008-04-01,3508.59755133378
2008-05-01,5684.4131942123495
2008-06-01,12858.7149944941
2008-07-01,3844.62665683954
2008-08-01,2408.38465948267
2008-09-01,3239.6001017630397
2008-10-01,2012.1373236044199
2008-11-01,1595.21463586823
2008-12-01,1432.35750506662
2009-01-01,1440.48022225841
2009-02-01,1216.12850526505
2009-03-01,1264.92696190748
2009-04-01,1435.3249083946803
2009-05-01,1310.75893556172
2009-06-01,1432.80419083569
2009-07-01,1434.6923956270498
2009-08-01,1504.46150351787
2009-09-01,1521.53521526375
2009-10-01,1246.22647061989
2009-11-01,1592.4207882748901
2009-12-01,1553.4686908647598
2010-01-01,1021.7563268746301
2010-02-01,1728.77996001286
2010-03-01,1788.09014918099
2010-04-01,1653.07712409677
2010-05-01,1618.7932931395999
2010-06-01,2018.7697798301501
2010-07-01,1613.3411122489401
2010-08-01,1461.3587668822597
2010-09-01,1656.8943396315499
2010-10-01,1603.98464675585
2010-11-01,1435.00177873477
2010-12-01,2857.23514853127
2011-01-01,1737.39205900052
2011-02-01,1604.5738901435097
2011-03-01,1477.22849692298
2011-04-01,1458.13944552431
2011-05-01,2565.9781649629
2011-06-01,1913.3557590424803
2011-07-01,1375.3617348933599
2011-08-01,1797.9084776388002
2011-09-01,1577.6138483233801
2011-10-01,1686.9740212791598
2011-11-01,2018.32335165103
2011-12-01,1595.80671402952
2012-01-01,1729.5537745379902
2012-02-01,2271.82447317642
2012-03-01,2044.7523003267002
2012-04-01,2345.8310983628
2012-05-01,2187.91695233275
2012-06-01,1336.89405127325
2012-07-01,2227.07647661292
2012-08-01,2114.05973823849
2012-09-01,2195.5026907537303
2012-10-01,2516.47680884187
2012-11-01,1879.1113690739103
2012-12-01,2015.7267980617398
2013-01-01,2570.01022408686
2013-02-01,2179.02273995648
2013-03-01,2031.3010554967002
2013-04-01,2577.42550280217
2013-05-01,2326.59461204255
2013-06-01,2622.34731036708
2013-07-01,2572.0454706062696
2013-08-01,3585.03571280296
2013-09-01,2565.95944578531
2013-10-01,3008.12332150675
2013-11-01,2852.27970308697
2013-12-01,3851.13334491346
2014-01-01,1426.52072305995
2014-02-01,3281.6303364000396
2014-03-01,5700.488430447889
2014-04-01,3234.8908331253497
2014-05-01,3048.8779589560804
2014-06-01,1874.82877978587
2014-07-01,3279.66826090622
2014-08-01,2616.75540333107
2014-09-01,3598.5240226251503
2014-10-01,2355.05214217984
2014-11-01,3059.51102142973
2014-12-01,2737.59430348002
2015-01-01,2790.78899225658
2015-02-01,2584.7110988511
2015-03-01,5581.21762501549
2015-04-01,7507.4177087784
2015-05-01,14883.572919505
2015-06-01,14572.535904516599
2015-07-01,3321.42546660175
2015-08-01,2618.32136747555
2015-09-01,2265.65362874096
2015-10-01,3338.95235330807
2015-11-01,3373.0783558471003
2015-12-01,8449.4294978424
2016-01-01,1248.76004686063
2016-02-01,2745.6685965377
2016-03-01,2087.66376291577
2016-04-01,2081.5590848158604
2016-05-01,2670.0931490839002
2016-06-01,3410.5825156274104
2016-07-01,2583.18178739068
2016-08-01,3157.8386001062
2016-09-01,4105.536368261261
2016-10-01,2823.99932995607
2016-11-01,2780.4363696568703
2016-12-01,3001.5180123770197
2017-01-01,5038.445461299821
2017-02-01,2593.43293456311
2017-03-01,3581.0897999782
2017-04-01,4284.54349647568
2017-05-01,2970.5932994836603
2017-06-01,2576.71368240416
2017-07-01,2636.40508746837
2017-08-01,3299.2285214132203
2017-09-01,3490.4786122748496
2017-10-01,3291.47155252693
2017-11-01,2472.59000157384
2017-12-01,3751.0235823645503
2018-01-01,2442.92528191977
2018-02-01,3300.8045398495
2018-03-01,4168.95327100263
2018-04-01,2319.12348822061
2018-05-01,5248.2977434835
2018-06-01,2747.31420442668
2018-07-01,3722.7846199412797
2018-08-01,2827.4776423561702
2018-09-01,2158.61667268276
2018-10-01,2835.37261182333
2018-11-01,3267.80462426607
2018-12-01,2834.8627993822997
2019-01-01,3965.58006339072
2019-02-01,4004.8605584871702
2019-03-01,2982.60507228424
2019-04-01,3830.3225372332704
