DATE,VABPPRIVSA
2003-03-01,3735.6329912668602
2003-04-01,4788.90655860048
2003-05-01,4269.37371729747
2003-06-01,5422.21938940237
2003-07-01,4450.19361593689
2003-08-01,5134.32733311695
2003-09-01,4854.63700499919
2003-10-01,5081.68863302122
2003-11-01,4474.442091929821
2003-12-01,5455.1358628363505
2004-01-01,4957.607774988979
2004-02-01,4893.40720951253
2004-03-01,5156.85950655577
2004-04-01,5571.010430805871
2004-05-01,4887.01016889383
2004-06-01,5352.54338907306
2004-07-01,5402.08166685709
2004-08-01,4822.55829992743
2004-09-01,6242.6033807350095
2004-10-01,5173.8830027656295
2004-11-01,4920.30417602904
2004-12-01,4562.03246142321
2005-01-01,4293.47237250908
2005-02-01,4732.332058859311
2005-03-01,4585.29831242165
2005-04-01,4746.24887942886
2005-05-01,4877.75368983081
2005-06-01,6358.3477614973
2005-07-01,4871.28387002487
2005-08-01,5477.3938267946205
2005-09-01,4992.35968101085
2005-10-01,4863.134211765429
2005-11-01,5111.18563956988
2005-12-01,4409.66524254817
2006-01-01,4827.551207641421
2006-02-01,4646.07209819906
2006-03-01,4660.2049693877
2006-04-01,4012.19069085193
2006-05-01,4408.37046153884
2006-06-01,3612.19749724243
2006-07-01,3169.85556775128
2006-08-01,3454.6305131755
2006-09-01,3652.01141145375
2006-10-01,3891.33174674745
2006-11-01,3566.44910269693
2006-12-01,2484.48898561551
2007-01-01,3170.1984703829903
2007-02-01,3464.64586325138
2007-03-01,3294.6815057120803
2007-04-01,3188.1172647043395
2007-05-01,3772.19558550531
2007-06-01,2933.9557431838202
2007-07-01,2997.76402061907
2007-08-01,2878.18800850505
2007-09-01,2153.1652152213396
2007-10-01,2717.29358552853
2007-11-01,2449.35823192131
2007-12-01,3118.8871656962
2008-01-01,3200.5806059352803
2008-02-01,2745.40136120142
2008-03-01,2617.41894083934
2008-04-01,2266.7479317249104
2008-05-01,2044.39850380285
2008-06-01,2399.1150001487804
2008-07-01,2080.2367756291897
2008-08-01,2065.45850447374
2008-09-01,1904.22861770958
2008-10-01,2388.32901403591
2008-11-01,1237.5362385752198
2008-12-01,1898.8285246036498
2009-01-01,1082.05368145885
2009-02-01,2547.5615143057103
2009-03-01,1313.26114984922
2009-04-01,1844.1378479705
2009-05-01,1768.52538479088
2009-06-01,1658.6752773335502
2009-07-01,1790.5907665965801
2009-08-01,1742.48440559693
2009-09-01,1608.74152874959
2009-10-01,1572.62203157201
2009-11-01,2026.8283661457801
2009-12-01,1713.28503259069
2010-01-01,1560.17172819631
2010-02-01,1485.5566532714001
2010-03-01,2302.34644641482
2010-04-01,1994.10957230572
2010-05-01,1458.6125354971
2010-06-01,1728.3490015535401
2010-07-01,1838.69415396644
2010-08-01,1803.8111000003303
2010-09-01,2133.00817644568
2010-10-01,1553.8313819493399
2010-11-01,1522.34689951017
2010-12-01,1008.2963742859599
2011-01-01,1840.89274334851
2011-02-01,1904.5351897394298
2011-03-01,2373.9452510882197
2011-04-01,1439.76062013376
2011-05-01,1747.14255176292
2011-06-01,1729.2464963445902
2011-07-01,2229.83960337589
2011-08-01,1805.5290508783899
2011-09-01,1640.7973368881399
2011-10-01,1533.97370764562
2011-11-01,1637.05600497681
2011-12-01,1680.1360035796802
2012-01-01,1874.36386615677
2012-02-01,3212.4022215871996
2012-03-01,2040.7046726571803
2012-04-01,1899.8477089230603
2012-05-01,2302.91729506203
2012-06-01,1978.7236565857002
2012-07-01,2035.9139745896398
2012-08-01,2141.11721676224
2012-09-01,1983.57579043538
2012-10-01,2322.19413653599
2012-11-01,3006.96032448605
2012-12-01,2504.29228858993
2013-01-01,2793.3807556567604
2013-02-01,2350.34817083057
2013-03-01,2289.13973603903
2013-04-01,2490.00546988882
2013-05-01,2680.62051798102
2013-06-01,2303.98057945045
2013-07-01,2389.29507582995
2013-08-01,2377.42353733745
2013-09-01,2712.81887240617
2013-10-01,2121.90721470785
2013-11-01,2292.73976744614
2013-12-01,2153.54668425552
2014-01-01,1823.39375732712
2014-02-01,3112.4405468108503
2014-03-01,1857.9844647428301
2014-04-01,2125.9378334672197
2014-05-01,2196.88767304085
2014-06-01,2625.1798757484303
2014-07-01,2302.60759135993
2014-08-01,2052.04429396135
2014-09-01,2469.0797498900697
2014-10-01,3216.0620514525604
2014-11-01,2088.08145030346
2014-12-01,2652.4897022476803
2015-01-01,2276.43629975262
2015-02-01,1663.9000568587198
2015-03-01,2779.99722737874
2015-04-01,3364.76040194002
2015-05-01,1674.7415700452
2015-06-01,2769.17447995718
2015-07-01,2875.32012326586
2015-08-01,2757.27444071707
2015-09-01,2590.77162648042
2015-10-01,3120.55994826409
2015-11-01,2597.54529435438
2015-12-01,2654.28896061572
2016-01-01,2432.21976770237
2016-02-01,1667.5541131066
2016-03-01,2613.20384674471
2016-04-01,2755.35691893091
2016-05-01,2472.5008834293103
2016-06-01,2225.76058503377
2016-07-01,2115.1035834737804
2016-08-01,2957.84249473453
2016-09-01,2606.9367700469397
2016-10-01,1962.51166748305
2016-11-01,2504.22003977328
2016-12-01,2624.8397581516897
2017-01-01,2444.32813955473
2017-02-01,2138.03568715568
2017-03-01,2817.5384250838106
2017-04-01,2197.62204057723
2017-05-01,2330.57819055171
2017-06-01,2942.8277747997804
2017-07-01,2350.54219612551
2017-08-01,2805.1979932454497
2017-09-01,2706.54247390766
2017-10-01,3407.0113270803304
2017-11-01,3333.1011066761303
2017-12-01,2238.22304817197
2018-01-01,2569.87747709495
2018-02-01,3436.57078266813
2018-03-01,2615.21443002303
2018-04-01,2617.35676565087
2018-05-01,2282.2433091899898
2018-06-01,2490.4653346607197
2018-07-01,2643.05729589598
2018-08-01,2226.67542420409
2018-09-01,3335.79259012372
2018-10-01,2802.822952745
2018-11-01,2355.7440334186604
2018-12-01,1950.8399050584699
2019-01-01,2974.1086162742604
2019-02-01,2918.89139161568
2019-03-01,2201.2472853763197
2019-04-01,2862.9303477372496
2019-05-01,2587.79992870887
2019-06-01,2549.85074854501
2019-07-01,2955.2463318932105
2019-08-01,3725.3285112165795
2019-09-01,2454.62112127494
2019-10-01,2261.94907694858
2019-11-01,2460.45496942177
2019-12-01,2892.11069757572
2020-01-01,2720.04051343006
2020-02-01,2846.5180854107202
2020-03-01,2298.0866763258105
2020-04-01,2371.1259855896697
2020-05-01,3030.7660252465603
2020-06-01,2677.343230926
2020-07-01,3991.3683436839797
2020-08-01,2290.4363521795103
2020-09-01,3111.8886094862896
2020-10-01,2690.64587025187
2020-11-01,2852.59427516745
2020-12-01,3064.83367516843
2021-01-01,3319.6335593014696
2021-02-01,3044.72034395805
2021-03-01,3803.77169668019
2021-04-01,3695.8203777761
2021-05-01,2912.6287495625606
2021-06-01,3159.38552521567
2021-07-01,2703.5537660528303
2021-08-01,3352.19291768052
2021-09-01,3176.55589388078
2021-10-01,2918.91828501677
2021-11-01,3847.80036436188
2021-12-01,3871.97026080526
2022-01-01,2703.80504621756
2022-02-01,3122.7390596796804
2022-03-01,4398.9075366814395
2022-04-01,3069.5273267238204
2022-05-01,3690.54887262305
2022-06-01,3104.6423600331605
2022-07-01,3221.0214356021197
2022-08-01,3353.4040690588
2022-09-01,2993.1543089040197
2022-10-01,3876.94076074644
2022-11-01,2305.05562641596
2022-12-01,3072.5285177320698
2023-01-01,3244.9686613987396
2023-02-01,2894.9679203875703
