DATE,OKBPPRIVSA
2003-12-01,1381.3003132244198
2004-01-01,1183.52519157244
2004-02-01,1251.75452878498
2004-03-01,1379.5611590059
2004-04-01,1299.24060528714
2004-05-01,1165.03590290111
2004-06-01,1177.9125868754
2004-07-01,1203.8248995197698
2004-08-01,1049.9875571730802
2004-09-01,1434.03388140626
2004-10-01,1238.92683753995
2004-11-01,1431.31041396469
2004-12-01,1898.63996353879
2005-01-01,1670.97811913353
2005-02-01,1354.84295107402
2005-03-01,1229.8925487747802
2005-04-01,1520.6704826671398
2005-05-01,1300.36659656199
2005-06-01,1675.44576379536
2005-07-01,1426.37867808992
2005-08-01,1504.42543673291
2005-09-01,1657.1957593644502
2005-10-01,1473.56984231694
2005-11-01,2226.75349700347
2005-12-01,1431.00563580102
2006-01-01,1519.39825292759
