DATE,MDBPPRIVSA
2003-02-01,2008.3472989764498
2003-03-01,1981.1948026465302
2003-04-01,2244.43476016875
2003-05-01,2760.16676724664
2003-06-01,2783.5959742322398
2003-07-01,2235.15281776691
2003-08-01,2025.4586870840199
2003-09-01,2236.12724814103
2003-10-01,2342.28732051353
2003-11-01,2189.62212630112
2003-12-01,2851.86911507602
2004-01-01,2364.85862110246
2004-02-01,2003.7149944284602
2004-03-01,2113.78570591936
2004-04-01,2546.83967277396
2004-05-01,1941.3551273465303
2004-06-01,2176.66598698387
2004-07-01,2241.89971190638
2004-08-01,2469.40840854684
2004-09-01,2520.9640251654396
2004-10-01,2691.8683021206302
2004-11-01,2842.92198065516
2004-12-01,2378.19018518634
2005-01-01,2067.65358238761
2005-02-01,2954.79446509275
2005-03-01,3228.43784314273
