DATE,KYBPPRIVSA
2003-03-01,1596.0945340786
2003-04-01,1697.3239219798402
2003-05-01,1616.7913604145301
2003-06-01,1307.10490236038
2003-07-01,1728.90040887228
2003-08-01,1570.79108084716
2003-09-01,1856.53985242258
2003-10-01,2232.2359084821105
2003-11-01,1525.4805319469901
2003-12-01,1535.26324288044
2004-01-01,1599.4904910232299
2004-02-01,1767.59573880817
2004-03-01,2047.24383186129
2004-04-01,1674.2366575755
2004-05-01,1913.2943209800799
2004-06-01,1823.6371777638
2004-07-01,1772.41712476757
2004-08-01,2094.98756679089
2004-09-01,1865.24814211538
2004-10-01,1993.14080473717
2004-11-01,1955.11453083685
2004-12-01,1938.6379559914
2005-01-01,1661.23095106349
2005-02-01,1841.1030304318201
2005-03-01,1792.40036590309
2005-04-01,2265.05732401578
2005-05-01,1804.9446875761498
2005-06-01,1632.3465061193801
2005-07-01,1639.82370293355
2005-08-01,1485.27243638824
2005-09-01,1514.0248878557902
2005-10-01,1426.9645940446399
2005-11-01,1587.76550160149
2005-12-01,1445.2488840115
2006-01-01,1463.3665947426098
2006-02-01,1220.3172711730301
2006-03-01,1253.6806704217802
2006-04-01,1187.08836076681
2006-05-01,1606.2455773809302
2006-06-01,1501.0629981070401
2006-07-01,1136.3513132531698
2006-08-01,1377.78724617572
2006-09-01,1251.86517889506
2006-10-01,1137.99833153681
2006-11-01,1263.0566557198401
2006-12-01,1312.57003833551
2007-01-01,1467.08478916202
2007-02-01,1524.92889461353
2007-03-01,1453.2616551218398
2007-04-01,1304.23365400749
2007-05-01,1121.4743746020401
2007-06-01,1139.53119095527
2007-07-01,1195.26824816888
2007-08-01,877.4849350908279
2007-09-01,871.0569398995931
2007-10-01,1043.6469868270801
2007-11-01,870.542853369678
2007-12-01,892.704718614778
2008-01-01,838.715755974352
2008-02-01,865.4512526170689
2008-03-01,691.8028758208529
2008-04-01,1185.67551090434
2008-05-01,920.846115754515
2008-06-01,752.371192453418
2008-07-01,1168.98366114806
2008-08-01,776.032656948737
2008-09-01,744.956580997763
2008-10-01,742.938101303034
2008-11-01,643.9345372643689
2008-12-01,529.467902664878
