DATE,WIBPPRIVSA
2003-02-01,3187.28286291312
2003-03-01,3320.70509460735
2003-04-01,3457.48768560891
2003-05-01,3125.66785725403
2003-06-01,3439.96742834836
2003-07-01,3175.63974144687
2003-08-01,3054.67683118248
2003-09-01,3202.0402985205296
2003-10-01,3183.5204449876696
2003-11-01,3264.48610205463
2003-12-01,3509.1208800735303
2004-01-01,3223.9432687344897
2004-02-01,3290.2696518466996
2004-03-01,3214.16348828065
2004-04-01,3388.0807661761896
2004-05-01,2687.06763091382
2004-06-01,2992.34161632282
2004-07-01,3200.21799811348
2004-08-01,3031.0217981277397
2004-09-01,3138.67251731877
2004-10-01,2977.0933985067304
2004-11-01,3035.91616522079
2004-12-01,3351.4190175953304
2005-01-01,2997.1213142666697
2005-02-01,2730.5311172982
2005-03-01,3064.58738724982
