DATE,MOBPPRIVSA
2003-01-01,2193.30814228428
2003-02-01,1941.3000732845
2003-03-01,1994.56673549304
2003-04-01,2088.87139090054
2003-05-01,2119.01048814577
2003-06-01,2485.82832501253
2003-07-01,2766.4544881536303
2003-08-01,2196.25020725547
2003-09-01,2543.43777839091
2003-10-01,2593.64750033485
2003-11-01,2381.79141318549
2003-12-01,2122.77798143679
2004-01-01,2586.67888438568
2004-02-01,2132.75908575057
2004-03-01,2513.04345885652
2004-04-01,2332.70405054136
2004-05-01,2206.36017308
2004-06-01,2441.6392838535603
2004-07-01,2140.47304628549
2004-08-01,2191.55311699101
2004-09-01,3416.27116837307
2004-10-01,2303.5609517512303
2004-11-01,2463.94226523107
2004-12-01,2962.95439668573
2005-01-01,2436.6433247750197
2005-02-01,2820.6206520797996
