DATE,UTBPPRIVSA
2003-06-01,1582.3943045382998
2003-07-01,1757.23478940611
2003-08-01,1759.48118699316
2003-09-01,2108.67290546507
2003-10-01,2025.43831000879
2003-11-01,1746.97289479689
2003-12-01,1877.78466120735
2004-01-01,1787.0002322240803
2004-02-01,1674.49152446958
2004-03-01,1970.80272003156
2004-04-01,2063.30518378469
2004-05-01,1891.5560857802302
2004-06-01,2084.3037723951197
2004-07-01,2125.7340907480398
2004-08-01,2101.25637334675
2004-09-01,2046.04212761434
2004-10-01,1908.1576355872
2004-11-01,2315.19237793281
2004-12-01,1939.77540403823
2005-01-01,2567.5641148191
2005-02-01,2298.37474788531
2005-03-01,2255.44017886778
2005-04-01,2209.93387475928
2005-05-01,2245.8733108168303
2005-06-01,2234.3528129189103
2005-07-01,2026.1893289918
2005-08-01,2338.37220604103
2005-09-01,2418.59163302661
2005-10-01,2175.62941770238
2005-11-01,2516.6579100352697
2005-12-01,2444.82894250437
2006-01-01,2253.80568493791
2006-02-01,2162.22226405548
2006-03-01,2324.69532947167
2006-04-01,1936.7931248161399
2006-05-01,2184.6656480038
2006-06-01,2340.44984664511
2006-07-01,2016.42074064353
2006-08-01,2370.90384714028
2006-09-01,1926.6405139685
2006-10-01,1994.73755049698
2006-11-01,1951.7872089160999
2006-12-01,2091.91671675321
2007-01-01,2003.9372030984302
2007-02-01,2253.97555016578
2007-03-01,1849.09076259418
2007-04-01,1821.2220331882897
2007-05-01,1864.8025053694
2007-06-01,1716.6060000304599
2007-07-01,1980.49191575962
2007-08-01,1969.9370197196697
2007-09-01,1145.76713415885
2007-10-01,1191.13946356234
2007-11-01,1080.4415558959802
2007-12-01,713.1023834448531
2008-01-01,1013.25696189536
2008-02-01,845.526009158509
2008-03-01,937.742808962159
2008-04-01,1153.50811773655
2008-05-01,1057.514084577
2008-06-01,914.54235413773
2008-07-01,1028.72718197695
2008-08-01,781.94716377331
2008-09-01,835.938339938629
2008-10-01,956.723450762878
2008-11-01,782.180203254156
2008-12-01,701.1600982576269
2009-01-01,1108.5031521343199
2009-02-01,969.1453534422169
2009-03-01,773.963809543875
2009-04-01,949.977074645548
2009-05-01,878.7342017278861
2009-06-01,1066.6208444011302
2009-07-01,970.454866775926
2009-08-01,743.858870298737
2009-09-01,1326.39351774036
2009-10-01,690.3358979620821
2009-11-01,567.101575294953
2009-12-01,834.218226991839
2010-01-01,712.9894195112621
2010-02-01,867.983096778511
2010-03-01,981.120162654465
2010-04-01,867.375514967589
2010-05-01,730.322454403232
2010-06-01,568.6837589929589
2010-07-01,610.4703152340529
2010-08-01,1132.4386564185302
2010-09-01,871.931395185514
2010-10-01,549.452810825049
2010-11-01,754.818773758506
2010-12-01,807.183690322735
2011-01-01,619.0141447861811
2011-02-01,589.412783540218
2011-03-01,623.974033800598
2011-04-01,577.647793364495
2011-05-01,783.775086484092
2011-06-01,1107.66880995572
2011-07-01,847.3212644615629
2011-08-01,954.458477628378
2011-09-01,786.2661089887199
2011-10-01,903.7734719856591
2011-11-01,925.0829989752319
2011-12-01,878.049372116785
2012-01-01,962.194407578331
2012-02-01,1112.86936970606
2012-03-01,1054.0183772636801
2012-04-01,953.507079215645
2012-05-01,1043.78971740362
2012-06-01,1044.46770973239
2012-07-01,1067.5029157958302
2012-08-01,1083.73277358214
2012-09-01,1033.10016922774
2012-10-01,1116.56908006359
2012-11-01,1197.90942180466
2012-12-01,1181.4200576312599
2013-01-01,1069.91228915815
2013-02-01,1091.5427666985001
2013-03-01,1365.51252486538
2013-04-01,1271.35557286161
2013-05-01,1307.2329718474
2013-06-01,1240.9676490801
2013-07-01,1333.40297622951
2013-08-01,1487.57929507564
2013-09-01,1204.50937396954
2013-10-01,1409.7133552147
2013-11-01,864.8739777428259
2013-12-01,1698.76530971793
2014-01-01,1812.3796544654397
2014-02-01,1993.67972775263
2014-03-01,1316.83494552791
2014-04-01,1257.3181695364801
2014-05-01,1319.97476031086
2014-06-01,1203.47460349791
2014-07-01,1224.19011766065
2014-08-01,1114.10616587647
2014-09-01,1812.9668332945498
2014-10-01,1349.88094742273
2014-11-01,1462.1795790041501
2014-12-01,1212.44727983271
2015-01-01,1136.33051895579
2015-02-01,1255.96177435499
2015-03-01,1335.6193912977099
2015-04-01,1840.43388501042
2015-05-01,1483.23904288214
2015-06-01,2321.13428166994
2015-07-01,1954.8352227166101
2015-08-01,1626.87633566984
2015-09-01,1822.71095110346
2015-10-01,1474.90857975379
2015-11-01,1486.7057952806
2015-12-01,1558.92773137488
2016-01-01,1746.66321457938
2016-02-01,1759.1577108752201
2016-03-01,1813.69011909579
2016-04-01,1798.9961278478
2016-05-01,1894.51144268398
2016-06-01,1957.98680027448
2016-07-01,1579.7056271062697
2016-08-01,1778.7562003901103
2016-09-01,1944.8901778704999
2016-10-01,2526.38490514449
2016-11-01,2166.7273692201
2016-12-01,1943.34622778018
2017-01-01,1823.74853345691
2017-02-01,1761.7737342361302
2017-03-01,2520.49501028651
2017-04-01,1847.4472269176397
2017-05-01,1807.1377842894897
2017-06-01,1850.23547948411
2017-07-01,2313.85373208288
2017-08-01,2287.50369104508
2017-09-01,1992.53336737546
2017-10-01,2219.7803520154603
2017-11-01,2038.0554228288397
2017-12-01,2085.7365353566397
2018-01-01,3018.33195368021
2018-02-01,2676.57296873958
2018-03-01,2329.7425915820104
2018-04-01,1929.4417158191602
2018-05-01,2279.43799821762
2018-06-01,2169.41497841369
2018-07-01,1969.53382511156
2018-08-01,2094.71224389413
2018-09-01,2143.94683854257
2018-10-01,1963.9777550424103
2018-11-01,1873.5886395817802
2018-12-01,2960.91074765895
2019-01-01,1949.6572104475101
2019-02-01,1878.1761072980898
2019-03-01,1644.78850544107
2019-04-01,2464.44735630605
2019-05-01,2575.52303277935
2019-06-01,2506.88793156184
2019-07-01,2167.0383314638602
2019-08-01,2480.20258072754
2019-09-01,2593.15408813351
