DATE,SCBPPRIVSA
2003-01-01,3087.17749038568
2003-02-01,2638.02830917896
2003-03-01,2539.5485611910103
2003-04-01,2903.42145982472
2003-05-01,2845.12128187045
2003-06-01,2888.46060918865
2003-07-01,4008.3530323440204
2003-08-01,2635.4935944140802
2003-09-01,3103.6202911178602
2003-10-01,3451.22977814266
2003-11-01,2808.51246399081
2003-12-01,3087.29355269777
2004-01-01,2540.65628576859
2004-02-01,3242.9895782211497
2004-03-01,3401.9556647121503
2004-04-01,3279.6456099606203
2004-05-01,3577.51430825808
2004-06-01,3362.4969463498305
2004-07-01,3709.04097590882
2004-08-01,3272.46714260851
2004-09-01,3879.1374189494395
2004-10-01,3481.1938190939195
2004-11-01,4000.0762021821
2004-12-01,4800.46310094563
2005-01-01,4059.2716331023603
2005-02-01,4091.4589075532704
2005-03-01,4189.13276288455
2005-04-01,3694.0971468828398
2005-05-01,4025.1209344703902
2005-06-01,4976.15927811472
2005-07-01,4041.1532452151896
2005-08-01,4650.7025393926
2005-09-01,4671.5389222269205
2005-10-01,4686.82065952988
2005-11-01,5122.2906109121
2005-12-01,4616.21367363971
2006-01-01,4608.67223624819
2006-02-01,4614.38294739596
2006-03-01,4875.55289834788
2006-04-01,3662.6453117937895
2006-05-01,4436.84672168034
2006-06-01,3922.71539372187
2006-07-01,3846.59672270807
2006-08-01,4026.3363135106297
2006-09-01,4162.33851452651
2006-10-01,3524.08882091615
2006-11-01,3547.00848204397
2006-12-01,3602.1719795965
2007-01-01,3648.1780164749202
2007-02-01,3354.85957678956
2007-03-01,3285.0312773377195
2007-04-01,3588.2243632297495
2007-05-01,4529.1219125302205
2007-06-01,2857.56239523659
2007-07-01,3014.92220764845
2007-08-01,2817.6114810281
2007-09-01,2602.4558137210997
2007-10-01,2358.7459196394298
2007-11-01,2975.20393970027
2007-12-01,3057.8205565705703
2008-01-01,2589.4002528867104
2008-02-01,2154.1823732277
2008-03-01,2183.8666493643
2008-04-01,2729.16673372557
2008-05-01,2307.15134376555
2008-06-01,2320.3236205162602
2008-07-01,3004.20891452953
2008-08-01,1866.5105959286398
2008-09-01,1856.0089619980301
2008-10-01,1676.58361694917
2008-11-01,1119.2286038316001
2008-12-01,1045.12189301859
2009-01-01,1239.8756050930199
2009-02-01,1167.0093552158
2009-03-01,1113.99559878328
2009-04-01,1195.4786383974401
2009-05-01,1097.3153300256301
2009-06-01,1446.22691328051
2009-07-01,1399.9691183847501
2009-08-01,1554.73295477401
2009-09-01,1400.07443845827
2009-10-01,1510.0896513842401
2009-11-01,1341.6349967545
2009-12-01,1420.79201193139
2010-01-01,1154.9347202046301
2010-02-01,1398.45319627585
2010-03-01,1754.67767478316
2010-04-01,1300.90690109146
2010-05-01,1158.1879413860902
2010-06-01,1164.2738985302801
2010-07-01,1185.75005082027
2010-08-01,1160.56022159422
2010-09-01,1000.34735648325
2010-10-01,1078.19695340157
2010-11-01,1093.04904488272
2010-12-01,1048.20660321187
2011-01-01,968.781737131019
2011-02-01,1148.54111706463
2011-03-01,1401.9123467934
2011-04-01,1351.58072160658
2011-05-01,1216.50007422861
2011-06-01,1214.2829554071302
2011-07-01,1204.6521271290699
2011-08-01,1311.06838622337
2011-09-01,1072.00051721609
2011-10-01,1625.82342656258
2011-11-01,1310.33715145064
2011-12-01,1793.65196057725
2012-01-01,1439.18832598422
2012-02-01,1489.1305518263198
2012-03-01,1495.14318014993
2012-04-01,1327.2698380735198
2012-05-01,2149.0125295554103
2012-06-01,1563.53597706555
2012-07-01,1421.6152974145903
2012-08-01,1527.99042475963
2012-09-01,1567.8412813715
2012-10-01,1619.25931953116
2012-11-01,1859.3905079662802
2012-12-01,1637.81639361102
2013-01-01,1854.80081097352
2013-02-01,1652.1203798484803
2013-03-01,1742.66480441665
2013-04-01,1721.0693023567499
2013-05-01,2147.55899388927
2013-06-01,1896.6170437490698
2013-07-01,1947.5216804903303
2013-08-01,1760.536811501
2013-09-01,2399.8197946806895
2013-10-01,2156.4601546717
2013-11-01,2124.45918522088
2013-12-01,1995.25009955059
2014-01-01,2402.6983461273603
2014-02-01,2558.26693638618
2014-03-01,2061.03163089664
2014-04-01,2232.26038743077
2014-05-01,1999.4275955208898
2014-06-01,1973.34132798837
2014-07-01,2265.77934075735
2014-08-01,2074.77916889999
2014-09-01,2510.98091513775
2014-10-01,2544.67155865902
2014-11-01,1951.0451710239802
2014-12-01,2702.12742362668
2015-01-01,2045.2486547578897
2015-02-01,2632.29978620781
2015-03-01,2190.45608545501
2015-04-01,3240.0832810718102
2015-05-01,2710.23873561678
2015-06-01,2350.8749880985897
2015-07-01,2749.22503772781
2015-08-01,2399.4555512742604
2015-09-01,3076.9932568064396
2015-10-01,2218.36764802408
2015-11-01,2217.16118375625
2015-12-01,2489.95427033478
2016-01-01,2070.55415066338
2016-02-01,2215.48411581351
2016-03-01,2541.4408488238
2016-04-01,2686.4731955864
2016-05-01,2738.67613945927
2016-06-01,2876.5326407267303
2016-07-01,2686.87832802512
2016-08-01,2909.71216197279
2016-09-01,2750.1125484210197
2016-10-01,2179.20940907839
2016-11-01,2861.88967873002
2016-12-01,2565.61005114629
2017-01-01,2787.33311666726
2017-02-01,2825.13338945612
2017-03-01,2746.65347769156
2017-04-01,2402.8905385970397
2017-05-01,2907.7234999442
2017-06-01,2885.91839082395
2017-07-01,2971.81826629082
2017-08-01,3039.8923336511402
2017-09-01,2657.79669249071
2017-10-01,2815.6100561360804
2017-11-01,2996.17444855656
2017-12-01,2728.36038580278
2018-01-01,2995.9569433742304
2018-02-01,2780.5898006360803
2018-03-01,3061.26778214665
2018-04-01,3106.4106532732203
2018-05-01,2920.6866093950503
2018-06-01,3172.7556505295097
2018-07-01,2828.82854034241
2018-08-01,3421.5494103806395
2018-09-01,2678.06540513014
2018-10-01,2816.87624694854
2018-11-01,3114.64495250209
2018-12-01,3254.6270644072697
2019-01-01,3716.4148457980396
2019-02-01,3030.98272976921
2019-03-01,2473.1673670106
2019-04-01,3000.53454295546
2019-05-01,3471.5689300076897
2019-06-01,2537.5015424693697
2019-07-01,2905.8332015163105
2019-08-01,2994.2697883995597
2019-09-01,2937.12191988565
2019-10-01,3007.19093777415
2019-11-01,2761.1358688542605
2019-12-01,2872.1400735855395
2020-01-01,3044.86187280773
2020-02-01,3061.83273106403
2020-03-01,3095.20020965391
2020-04-01,2625.5228000901
2020-05-01,2640.76831492202
2020-06-01,3296.09946678924
2020-07-01,3905.52114793306
2020-08-01,3340.4787539203303
