DATE,INBPPRIVSA
2003-02-01,2851.3162469725103
2003-03-01,2898.2023669958003
2003-04-01,3180.68496191633
2003-05-01,3231.78601170097
2003-06-01,3750.09207331705
2003-07-01,3474.92877772811
2003-08-01,3605.9342430095794
2003-09-01,3956.96535395945
2003-10-01,3315.835413025
2003-11-01,3121.82514039519
2003-12-01,3493.05550322544
2004-01-01,3179.92077989779
2004-02-01,3645.5411901218604
2004-03-01,3257.7043648801396
2004-04-01,3527.9201103245
2004-05-01,2972.43581578633
2004-06-01,3091.6054744638895
2004-07-01,3097.1117358688202
2004-08-01,2912.81155658573
2004-09-01,3369.08267589531
2004-10-01,3104.5756483071004
2004-11-01,3386.5364354173403
2004-12-01,3960.1603999654
2005-01-01,3139.31402128049
2005-02-01,2968.39231751636
2005-03-01,3011.70384815486
2005-04-01,3272.27204581409
2005-05-01,3141.8458218515602
2005-06-01,3004.86743736862
2005-07-01,2906.94982345331
2005-08-01,3421.14722232877
2005-09-01,3127.8043133327196
2005-10-01,3585.33468558445
2005-11-01,3228.7626236762603
2005-12-01,2879.8803406491197
2006-01-01,3371.5351852187896
2006-02-01,3363.6349728442497
2006-03-01,2853.14465634185
2006-04-01,2318.41967343809
2006-05-01,2469.2790686285
2006-06-01,2282.6988130936998
2006-07-01,1992.8231262874801
2006-08-01,2162.32127388008
2006-09-01,1983.2752010255103
2006-10-01,1873.58872687698
2006-11-01,2095.27522199738
2006-12-01,2231.9262556897
2007-01-01,2353.7409063059
2007-02-01,1899.61210594495
2007-03-01,2179.80551632958
2007-04-01,2098.53742228342
2007-05-01,2358.6515428844896
2007-06-01,2104.67298686853
2007-07-01,2017.7437780639102
2007-08-01,1881.08945009117
2007-09-01,1596.7238522060502
2007-10-01,1735.98679458927
2007-11-01,1931.02604307193
2007-12-01,1162.83572814548
2008-01-01,1381.47110567495
2008-02-01,1759.10731246022
2008-03-01,1079.9617666292402
2008-04-01,1480.05271135199
2008-05-01,1454.76150505139
2008-06-01,1771.8375771251801
2008-07-01,1386.7963805516501
2008-08-01,1477.6900740109602
2008-09-01,1134.84530611709
2008-10-01,1118.37327599383
2008-11-01,979.6254539934309
2008-12-01,967.8098887100219
2009-01-01,621.828968382556
2009-02-01,932.775982545388
2009-03-01,997.7232878670841
2009-04-01,956.1178106929201
2009-05-01,831.294312094258
2009-06-01,1118.08175923384
2009-07-01,1346.5069449538198
2009-08-01,1032.82771042164
2009-09-01,1085.7118669755
2009-10-01,1067.98023489773
2009-11-01,992.175803366945
2009-12-01,1075.1528217553
2010-01-01,1277.81333911851
2010-02-01,1130.19061232246
2010-03-01,1262.5499693178501
2010-04-01,1202.54425801968
2010-05-01,975.882212848479
2010-06-01,925.5963551632981
2010-07-01,1183.14777518996
2010-08-01,842.261458786772
2010-09-01,1078.88370997096
2010-10-01,929.606626809829
2010-11-01,868.1796397137759
2010-12-01,827.445152295642
2011-01-01,1009.5390872888601
2011-02-01,847.146211635334
2011-03-01,1047.8288149202801
2011-04-01,865.2903037830721
2011-05-01,904.250333749592
2011-06-01,925.3407616921389
2011-07-01,1020.66843617441
2011-08-01,1354.2161564799499
2011-09-01,1249.67893149875
2011-10-01,757.208118721604
2011-11-01,1083.8848135149801
2011-12-01,1218.46206247511
2012-01-01,898.081835299912
2012-02-01,1757.31481807172
2012-03-01,1131.65956787122
2012-04-01,1192.04865485502
2012-05-01,1190.94986937034
2012-06-01,1206.84135596482
2012-07-01,923.917140535332
2012-08-01,1171.8989024937
2012-09-01,1057.37085168759
2012-10-01,1237.29180051193
2012-11-01,1486.8439274699801
2012-12-01,923.938397598464
2013-01-01,1194.28863996709
2013-02-01,2059.0058974427398
2013-03-01,1253.41931512917
2013-04-01,1402.64428306703
2013-05-01,1547.85784777049
2013-06-01,1435.26510901478
2013-07-01,1507.5199437800302
2013-08-01,1482.7333243616902
2013-09-01,1465.3038228797197
2013-10-01,1529.35275128379
2013-11-01,1743.54563636764
2013-12-01,1687.51405376823
2014-01-01,1558.1515464646698
2014-02-01,1216.4833347413698
2014-03-01,1221.10227368551
2014-04-01,1366.73835971261
2014-05-01,1447.93808160708
2014-06-01,1766.2277743674697
2014-07-01,1885.6377814610698
2014-08-01,1263.56939693823
2014-09-01,1963.4385131076501
2014-10-01,1477.23119013441
2014-11-01,1155.1404352321401
2014-12-01,1443.8836279565
2015-01-01,1107.1604574267
2015-02-01,1151.6880933674001
2015-03-01,1274.50211687001
2015-04-01,1412.65808732189
2015-05-01,1560.68219269966
2015-06-01,1479.8603756657599
2015-07-01,1264.29802998654
2015-08-01,1666.01576261673
2015-09-01,1715.41679296074
2015-10-01,1639.41246852677
2015-11-01,1863.5998141676398
2015-12-01,1723.97035763873
2016-01-01,1603.54733095823
2016-02-01,1747.5262542140197
2016-03-01,1644.06650856171
2016-04-01,1430.18493074327
2016-05-01,1431.9906565968301
2016-06-01,1302.8881061834402
2016-07-01,1529.40245832478
2016-08-01,1697.5748483467999
2016-09-01,1578.52175195822
2016-10-01,1570.93137729797
2016-11-01,1470.2659841403301
2016-12-01,1371.02085876701
2017-01-01,1752.20030217951
2017-02-01,2218.2229176746105
2017-03-01,1558.40179501516
2017-04-01,1551.84961576265
2017-05-01,1681.91256395857
2017-06-01,1984.57152603295
2017-07-01,1421.26984184325
2017-08-01,1515.9676616440197
2017-09-01,1380.22645539134
2017-10-01,1413.2707239750598
2017-11-01,1550.52658010009
2017-12-01,1605.7353882081302
2018-01-01,1518.3813512358802
2018-02-01,1885.6871316547897
2018-03-01,2449.63188124661
2018-04-01,2001.6608620714103
2018-05-01,2133.66744882404
2018-06-01,1452.5075514683701
2018-07-01,1808.7075007912
2018-08-01,1903.9529669988897
2018-09-01,1268.6280366545698
2018-10-01,1810.8733065900399
2018-11-01,1654.6079260795498
2018-12-01,1396.21998697076
2019-01-01,2231.85807183645
2019-02-01,1854.85639386677
2019-03-01,1672.67616599835
2019-04-01,1787.0482758467301
2019-05-01,1559.52192386364
2019-06-01,1834.09628869107
2019-07-01,1736.8810434347101
2019-08-01,1985.8851115793302
2019-09-01,1681.20551603426
2019-10-01,1711.4582592164902
2019-11-01,2043.0383513769898
2019-12-01,1902.1978128251399
2020-01-01,1862.24042787383
2020-02-01,1687.1681332399698
2020-03-01,1670.0435876725
2020-04-01,1708.2672208568697
2020-05-01,1862.6836115439498
2020-06-01,1963.3646164971399
2020-07-01,2360.12009510276
2020-08-01,1723.39244652725
2020-09-01,2345.0631576962196
2020-10-01,2385.9795164203197
2020-11-01,1997.2362306544298
2020-12-01,2371.1497995539103
2021-01-01,2226.91731073858
2021-02-01,2221.0512571069603
2021-03-01,2409.4549001422697
2021-04-01,2162.68457397248
2021-05-01,2034.8887105720398
