DATE,OHBPPRIVSA
2003-03-01,4004.69458359211
2003-04-01,4517.63521415003
2003-05-01,4234.4376226473
2003-06-01,4423.0701574042
2003-07-01,4696.7223508712295
2003-08-01,4312.99198035104
2003-09-01,4714.42235761581
2003-10-01,4640.88192787531
2003-11-01,3981.5461773560205
2003-12-01,4985.50523842527
2004-01-01,3532.21955039801
2004-02-01,4136.1500109234
2004-03-01,4640.1255376850395
2004-04-01,4525.9496667515705
2004-05-01,4049.9289639652898
2004-06-01,4089.8120206451295
2004-07-01,3815.4574706847206
2004-08-01,4113.36306046908
2004-09-01,4512.70481472068
2004-10-01,3963.22529785409
2004-11-01,4566.8560821029405
2004-12-01,4125.672196773449
2005-01-01,3824.33904644246
2005-02-01,4319.90297187312
2005-03-01,4416.120755260539
2005-04-01,4638.84878758472
