DATE,ARBPPRIVSA
1995-05-01,824.049378299469
1995-06-01,763.5258779645641
1995-07-01,815.586541817854
1995-08-01,1438.64655846608
1995-09-01,908.540387417755
1995-10-01,985.026678685301
1995-11-01,998.3398161609649
1995-12-01,868.477065285848
1996-01-01,777.075147399183
1996-02-01,1428.1423923697198
1996-03-01,888.814092360717
1996-04-01,1279.12993050652
1996-05-01,974.3712921699561
1996-06-01,928.030634398351
1996-07-01,915.954515342131
1996-08-01,878.6843184269251
1996-09-01,801.4088559164819
1996-10-01,729.241928040906
1996-11-01,778.848483296562
1996-12-01,939.148550597868
1997-01-01,1027.97772523518
1997-02-01,1055.15263485588
1997-03-01,680.083618512055
1997-04-01,837.2657285357111
1997-05-01,1429.9938944667
1997-06-01,855.709047624848
1997-07-01,979.766621299266
1997-08-01,584.769288513717
1997-09-01,1171.21109118702
1997-10-01,1075.25695244086
1997-11-01,787.781653733179
1997-12-01,738.1555673436459
1998-01-01,1270.0335538341099
1998-02-01,784.258602459135
1998-03-01,982.3211569763499
1998-04-01,984.2477288420239
1998-05-01,1069.7764829411099
1998-06-01,811.5838756006
1998-07-01,870.715058370385
1998-08-01,657.368885027357
1998-09-01,693.289540041364
1998-10-01,865.469503811274
1998-11-01,916.369430288241
1998-12-01,763.334505713353
1999-01-01,975.386253405546
1999-02-01,862.54407604748
1999-03-01,1032.6691339469699
1999-04-01,662.1138965769551
1999-05-01,831.3129492161979
1999-06-01,768.8349027518559
1999-07-01,1309.53371065238
1999-08-01,1420.97462778189
1999-09-01,1052.60777303532
1999-10-01,891.409195700746
1999-11-01,1041.70219053392
1999-12-01,1080.05105753917
2000-01-01,725.724913018831
2000-02-01,1310.5653941875998
2000-03-01,737.597538995965
2000-04-01,640.566004809961
2000-05-01,708.4254693541491
2000-06-01,797.714880739948
2000-07-01,663.642326491366
2000-08-01,772.82867765479
2000-09-01,680.9001390902511
2000-10-01,989.500255441561
2000-11-01,1230.19142794482
2000-12-01,552.0159240071399
2001-01-01,653.4198844220459
2001-02-01,733.0284907649859
2001-03-01,1154.9961545333801
2001-04-01,861.241059223408
2001-05-01,782.748458322099
2001-06-01,1172.5453702868801
2001-07-01,710.5920176078861
2001-08-01,968.414296049288
2001-09-01,934.419695897055
2001-10-01,1059.98605008548
2001-11-01,1077.22644604904
2001-12-01,727.274403429779
2002-01-01,1694.9736660075598
2002-02-01,841.462267379285
2002-03-01,689.327201467639
2002-04-01,954.202391111117
2002-05-01,827.2805071077679
2002-06-01,1226.4093489674901
2002-07-01,849.375057372379
2002-08-01,907.649272555586
2002-09-01,1586.72243024013
2002-10-01,704.4852904419259
2002-11-01,1001.3386866721
2002-12-01,1309.92371581297
2003-01-01,922.826663115741
2003-02-01,968.363340118855
2003-03-01,1320.72434458469
2003-04-01,1385.7253919244101
2003-05-01,1608.48741049843
2003-06-01,977.324595031269
2003-07-01,1370.51513938064
2003-08-01,1162.22448385859
2003-09-01,1297.82489522527
2003-10-01,1099.96404294171
2003-11-01,849.7876150950459
2003-12-01,1229.96710885769
