DATE,MSBPPRIVSA
2004-01-01,1150.2653518367501
2004-02-01,1248.35850630969
2004-03-01,1137.27503985657
2004-04-01,1034.33216659375
2004-05-01,931.615355917426
2004-06-01,979.358705026676
2004-07-01,1268.12034145563
2004-08-01,1266.0464242719802
2004-09-01,1137.7978995155302
2004-10-01,1563.2167638957199
2004-11-01,1071.31685843212
2004-12-01,1193.12915930556
2005-01-01,1015.55539175985
2005-02-01,937.7975818756951
2005-03-01,1127.78537279882
2005-04-01,1026.1731608613302
2005-05-01,1067.99820918893
2005-06-01,1107.0659740759402
2005-07-01,943.9771230563949
2005-08-01,1159.4490422612598
2005-09-01,1364.89496308018
2005-10-01,1092.62754589698
2005-11-01,1219.1329762103098
2005-12-01,1368.11965854327
2006-01-01,1239.35697502417
2006-02-01,1245.195736113
2006-03-01,1177.09560412291
2006-04-01,1094.10135017844
2006-05-01,1855.75909926543
2006-06-01,1306.36853512474
2006-07-01,1371.91237520692
2006-08-01,1182.2194651035002
2006-09-01,1104.7610438387899
2006-10-01,1343.60127220298
2006-11-01,1133.2596163066198
2006-12-01,1162.80603955158
2007-01-01,1374.3590220788699
2007-02-01,1483.46464420344
2007-03-01,1769.1970871905498
2007-04-01,1730.91510253715
2007-05-01,1429.5814256075698
2007-06-01,1484.08253071549
2007-07-01,982.317676751675
2007-08-01,1133.32534727804
2007-09-01,973.6378183771069
2007-10-01,700.159598895146
2007-11-01,1869.41345017216
2007-12-01,895.3890834081619
2008-01-01,998.8973527178321
2008-02-01,1405.2459713882001
2008-03-01,939.6789254339461
2008-04-01,738.7881843339751
2008-05-01,845.213146007841
2008-06-01,734.7587053331309
2008-07-01,964.978467324832
2008-08-01,657.3647803531439
2008-09-01,699.188716637688
2008-10-01,588.405990539669
2008-11-01,629.986814366405
2008-12-01,510.70525869017195
2009-01-01,515.625619792924
2009-02-01,419.71921831045404
2009-03-01,403.820380165157
2009-04-01,494.202490297537
2009-05-01,434.673349363715
2009-06-01,1465.7393106624402
2009-07-01,527.2068623162249
2009-08-01,417.647687022016
2009-09-01,623.1087604786879
2009-10-01,427.189683573309
2009-11-01,414.571348237448
2009-12-01,470.404052770413
2010-01-01,426.078414954095
2010-02-01,414.748978919057
2010-03-01,399.45606185480005
2010-04-01,465.803066444888
2010-05-01,396.332107442164
2010-06-01,409.392697102032
2010-07-01,304.81238404081796
2010-08-01,428.955693172223
2010-09-01,398.768147827658
2010-10-01,389.83154504003096
2010-11-01,440.16445806720594
2010-12-01,614.852657630639
2011-01-01,362.429930703899
2011-02-01,565.1453422462359
2011-03-01,361.95511853067296
2011-04-01,267.351768086987
2011-05-01,331.558850074791
2011-06-01,331.425128794682
2011-07-01,296.721452082346
2011-08-01,368.27243805732
2011-09-01,359.99765162737503
2011-10-01,344.10285178951403
2011-11-01,477.18479065856906
2011-12-01,322.39978789828996
2012-01-01,424.868479178741
2012-02-01,392.98082163986504
2012-03-01,352.094933403042
2012-04-01,406.241712278419
2012-05-01,536.077867417526
2012-06-01,400.787461273246
2012-07-01,587.744079677301
2012-08-01,446.250032347005
2012-09-01,354.552346731291
2012-10-01,444.94919628302904
2012-11-01,382.792809303548
2012-12-01,499.19523756826
2013-01-01,378.346809595446
2013-02-01,423.540675057766
2013-03-01,524.105938984965
2013-04-01,416.525192081603
2013-05-01,399.421741829391
2013-06-01,444.761264647695
2013-07-01,398.54690616258796
2013-08-01,760.0837353703309
2013-09-01,447.185603925712
2013-10-01,413.087030846561
2013-11-01,437.33991053306505
2013-12-01,365.400312037423
2014-01-01,386.67720395695505
2014-02-01,403.344786150969
2014-03-01,583.764541245617
2014-04-01,405.739810543732
2014-05-01,409.27014813716596
2014-06-01,392.586434751001
2014-07-01,770.1914152390849
2014-08-01,436.13006036425
2014-09-01,460.090090606092
2014-10-01,463.11082737706
2014-11-01,445.637434818384
2014-12-01,440.456974755317
2015-01-01,728.268331289059
2015-02-01,465.903501983688
2015-03-01,490.467461606698
2015-04-01,510.23276060214204
2015-05-01,494.63308456474704
2015-06-01,611.733565397107
2015-07-01,585.293265673861
2015-08-01,538.430129518585
2015-09-01,836.299589105242
2015-10-01,587.234270527862
2015-11-01,522.106166317297
2015-12-01,614.605963073355
2016-01-01,507.659984997609
2016-02-01,635.796519493174
2016-03-01,554.264548611549
2016-04-01,617.922697880188
2016-05-01,633.93215714408
2016-06-01,602.7250290088559
2016-07-01,519.224516166586
2016-08-01,571.695207310582
2016-09-01,610.269863306035
2016-10-01,542.6236386503859
2016-11-01,722.8752363597309
2016-12-01,654.436770216664
2017-01-01,940.020341092406
2017-02-01,1153.7343765105802
2017-03-01,646.749128257736
2017-04-01,671.5765749190821
2017-05-01,588.385671189166
2017-06-01,571.534278086848
2017-07-01,611.4311528926149
2017-08-01,641.096311267599
2017-09-01,591.754078526624
2017-10-01,629.174977428378
2017-11-01,593.673914231077
2017-12-01,629.557803022387
2018-01-01,447.159824788294
2018-02-01,550.309649198274
2018-03-01,551.139107573827
2018-04-01,609.9668355390451
2018-05-01,585.891561574736
2018-06-01,763.370929462298
2018-07-01,621.21549377093
2018-08-01,570.228455791261
2018-09-01,560.498411121624
2018-10-01,667.259093656965
2018-11-01,580.243045860218
2018-12-01,583.153166253476
2019-01-01,613.962891608367
2019-02-01,479.825116275718
2019-03-01,552.321123992925
2019-04-01,548.731064628602
2019-05-01,597.836209824418
2019-06-01,542.841410741499
2019-07-01,625.5917938762931
2019-08-01,643.387705823232
2019-09-01,621.383891265888
2019-10-01,643.0034658837641
2019-11-01,606.276720071602
2019-12-01,615.3807189341011
2020-01-01,660.1518787039689
2020-02-01,662.397474712418
2020-03-01,655.074429685727
2020-04-01,655.065044947836
2020-05-01,725.674785538096
2020-06-01,820.800403553878
2020-07-01,771.098771135252
2020-08-01,718.5528054035781
2020-09-01,751.806037401066
2020-10-01,678.590480556226
2020-11-01,784.8116992536051
2020-12-01,767.146330513352
2021-01-01,725.929153641452
2021-02-01,646.2961629143409
2021-03-01,767.037626092973
2021-04-01,737.012837968177
2021-05-01,806.34948810469
2021-06-01,622.350627100159
2021-07-01,564.7754480880101
2021-08-01,649.551960146053
2021-09-01,748.5647003267239
2021-10-01,697.321565786566
2021-11-01,727.802164337819
2021-12-01,762.707425492989
2022-01-01,690.9535833209261
2022-02-01,765.63474068215
2022-03-01,779.698083504864
2022-04-01,672.065812617807
2022-05-01,688.956299775034
2022-06-01,806.5623284022929
2022-07-01,585.977644384396
2022-08-01,663.897677695757
2022-09-01,621.984110212098
2022-10-01,637.3459745743
2022-11-01,552.6044564182511
2022-12-01,548.793380721621
2023-01-01,621.078444665263
2023-02-01,750.095777242866
