DATE,WVBPPRIVSA
2004-03-01,495.194554814753
2004-04-01,465.51714792475195
2004-05-01,390.243899120848
2004-06-01,486.430955223993
2004-07-01,511.555348155262
2004-08-01,373.997420541002
2004-09-01,481.992915241509
2004-10-01,403.490569733685
2004-11-01,410.475656429524
2004-12-01,473.07338069847503
2005-01-01,563.220880392484
2005-02-01,443.669704192247
2005-03-01,454.08748282899694
2005-04-01,403.38656108052203
2005-05-01,440.380481411005
2005-06-01,502.98232474371
2005-07-01,398.76692767722
2005-08-01,484.93519874150496
2005-09-01,524.652595958735
2005-10-01,357.247426688666
2005-11-01,439.67478561505203
2005-12-01,488.059276493041
2006-01-01,592.6065852750701
2006-02-01,525.400238824961
2006-03-01,490.219237791859
2006-04-01,293.179610185351
2006-05-01,437.422740899617
2006-06-01,365.594686303678
2006-07-01,364.704797161864
2006-08-01,379.310745647147
2006-09-01,344.608742239887
2006-10-01,369.401146720441
2006-11-01,366.576318828515
2006-12-01,334.700345694615
2007-01-01,289.373906630766
2007-02-01,361.60570999121904
2007-03-01,305.326991783909
2007-04-01,340.985314579858
2007-05-01,378.396135673772
2007-06-01,292.900048013366
2007-07-01,342.291204145786
2007-08-01,286.973275486406
2007-09-01,247.60721667277
2007-10-01,300.284046364465
2007-11-01,562.2984001552279
2007-12-01,739.589296977668
2008-01-01,436.572057454794
2008-02-01,332.24188419382097
2008-03-01,200.316051559772
2008-04-01,270.420395013906
2008-05-01,195.905956649029
2008-06-01,255.48767089791
2008-07-01,248.911073079739
2008-08-01,336.411762826077
2008-09-01,196.02520875641602
2008-10-01,231.067253532618
2008-11-01,154.900415975751
2008-12-01,89.9958110863045
2009-01-01,137.628595724359
2009-02-01,139.129559690692
2009-03-01,128.651654816407
2009-04-01,84.3358249884993
2009-05-01,143.77998189459998
2009-06-01,142.581967810593
2009-07-01,305.632121641406
2009-08-01,163.69482955208
2009-09-01,183.537850912391
2009-10-01,179.13995324120302
2009-11-01,126.305287486461
2009-12-01,140.084315836248
2010-01-01,169.317370810893
2010-02-01,145.76616018637898
2010-03-01,153.98534036176
2010-04-01,166.84343083702998
2010-05-01,96.3067646388167
2010-06-01,229.46054522793997
2010-07-01,108.016710216092
2010-08-01,108.03918186190701
2010-09-01,165.349219863641
2010-10-01,99.4334389175651
2010-11-01,117.27154132592399
2010-12-01,122.596831527567
2011-01-01,100.922702515427
2011-02-01,187.014800848158
2011-03-01,127.06129863319401
2011-04-01,100.111326582148
2011-05-01,133.158920628693
2011-06-01,162.96556637895202
2011-07-01,157.658984872753
2011-08-01,148.76596752683702
2011-09-01,155.223804487572
2011-10-01,139.23746673323
2011-11-01,89.89312639924
2011-12-01,311.156992033716
2012-01-01,102.001871219949
2012-02-01,106.258026147689
2012-03-01,202.71615036449
2012-04-01,159.747735377403
2012-05-01,194.506200856515
2012-06-01,144.224146162925
2012-07-01,185.27717468781398
2012-08-01,127.60830067682
2012-09-01,86.78110393240792
2012-10-01,208.980996598377
2012-11-01,169.447915926054
2012-12-01,199.813607810591
2013-01-01,221.582235812341
2013-02-01,240.12193609621602
2013-03-01,151.84550818937
2013-04-01,282.98459187810397
2013-05-01,237.234495080156
2013-06-01,139.89845117375
2013-07-01,160.832418269213
2013-08-01,233.788108244542
2013-09-01,162.401346933119
2013-10-01,161.230157108215
2013-11-01,191.236741818041
2013-12-01,152.620877263658
2014-01-01,197.437465015583
2014-02-01,96.15665375566141
2014-03-01,142.185980088244
2014-04-01,150.10509493234198
2014-05-01,132.76238210453
2014-06-01,151.131380905488
2014-07-01,181.610792111132
2014-08-01,205.702156698061
2014-09-01,206.78001806082
2014-10-01,169.16902756762
2014-11-01,243.70062881429797
2014-12-01,231.27382924785599
2015-01-01,178.405319628725
2015-02-01,275.104200681696
2015-03-01,214.692467328414
2015-04-01,232.595771237575
2015-05-01,217.65272100574902
2015-06-01,305.788557123824
2015-07-01,355.447718934114
2015-08-01,189.052927355819
2015-09-01,194.365026377984
2015-10-01,262.930692273224
2015-11-01,191.98207976837298
2015-12-01,220.87271399337
2016-01-01,185.124367612733
2016-02-01,162.54003483924
2016-03-01,220.822250822851
2016-04-01,202.46114439855597
2016-05-01,215.373931549837
2016-06-01,247.928774205485
2016-07-01,230.943328912298
2016-08-01,183.56579960779098
2016-09-01,237.086259036972
2016-10-01,275.580995307708
2016-11-01,245.28256025960602
2016-12-01,203.59015169029598
2017-01-01,269.770655393083
2017-02-01,221.121103415154
2017-03-01,270.277768672789
2017-04-01,200.907014145963
2017-05-01,238.36961246419102
2017-06-01,216.664396270923
2017-07-01,187.78513698763803
2017-08-01,233.693003287539
2017-09-01,232.171523537595
2017-10-01,241.23689310995601
2017-11-01,188.62429002326303
2017-12-01,262.928307780435
2018-01-01,206.78516553214402
2018-02-01,247.750596397893
2018-03-01,239.760334904995
2018-04-01,249.38776194788798
2018-05-01,256.643615842885
2018-06-01,265.674259975648
2018-07-01,191.79193296341597
2018-08-01,431.073162885362
