DATE,MNBPPRIVSA
1993-07-01,2181.35436831971
1993-08-01,2052.33142772966
1993-09-01,2437.81662424127
1993-10-01,2440.98693826074
1993-11-01,2312.9981745291298
1993-12-01,2114.09176464673
1994-01-01,1992.62143668392
1994-02-01,1872.55965003427
1994-03-01,2285.91578344845
1994-04-01,2210.39292452759
1994-05-01,2376.9969690938397
1994-06-01,2192.4955099558397
1994-07-01,2313.02785442535
1994-08-01,2130.30900956596
1994-09-01,2126.41193551523
1994-10-01,2331.09907858617
1994-11-01,2115.0309916623396
1994-12-01,2526.02223459037
1995-01-01,2004.74545422823
1995-02-01,1993.05621006001
1995-03-01,1949.99944549471
1995-04-01,1720.15560680977
1995-05-01,2166.4072190643697
1995-06-01,2264.09793273754
1995-07-01,2108.5827292371105
1995-08-01,2496.83109015585
1995-09-01,2255.4172973036398
1995-10-01,2224.48898740277
1995-11-01,2547.03229923055
1995-12-01,1771.13324197237
1996-01-01,2285.9806699829396
1996-02-01,2167.02617356671
1996-03-01,1833.4207375537699
1996-04-01,2328.7498437154604
1996-05-01,2455.5110082193105
1996-06-01,2101.87824782813
1996-07-01,2329.85213573233
1996-08-01,2345.50635784422
1996-09-01,2042.8777891808802
1996-10-01,1928.9720532151898
1996-11-01,2077.1400826438103
1996-12-01,2260.4609172237197
1997-01-01,1742.9326642546698
1997-02-01,1982.15898379754
1997-03-01,2102.113038857
1997-04-01,2198.44292020325
1997-05-01,1881.8260707462198
1997-06-01,2113.07148339522
1997-07-01,2016.0623629108802
1997-08-01,1891.30439757475
1997-09-01,2734.70425494828
1997-10-01,2540.15894432172
1997-11-01,1954.60072234812
1997-12-01,2075.0785771916103
1998-01-01,2417.72622440722
1998-02-01,2334.2262943923397
1998-03-01,2067.3158180087303
1998-04-01,2353.28290700437
1998-05-01,2427.20113893155
1998-06-01,2571.04182039998
1998-07-01,2989.1908175163503
1998-08-01,2219.91386268138
1998-09-01,2504.90047291855
1998-10-01,2543.24127390535
1998-11-01,2860.05574612767
1998-12-01,3341.3670343099398
1999-01-01,2359.821698386
1999-02-01,2681.73987472478
1999-03-01,2974.1397246981105
1999-04-01,2636.23421238434
1999-05-01,2590.2709023708803
1999-06-01,2900.36032686982
1999-07-01,2587.06606616999
1999-08-01,3049.66517460032
1999-09-01,2834.81070844595
