DATE,WABPPRIVSA
2003-02-01,3672.1982786093604
2003-03-01,3535.24318318313
2003-04-01,3848.60301892884
2003-05-01,3523.1410670971704
2003-06-01,3332.8522366932
2003-07-01,3660.51037322332
2003-08-01,3777.4247659595203
2003-09-01,3703.8935002284297
2003-10-01,3385.52724387145
2003-11-01,3145.33221268061
2003-12-01,3474.0797225018
2004-01-01,3475.4622888794
2004-02-01,3310.6191292575395
2004-03-01,3920.7579358846797
2004-04-01,3741.24288926669
2004-05-01,3848.5412734495203
2004-06-01,4063.77995612755
2004-07-01,3790.2531364828296
2004-08-01,3823.58777770389
2004-09-01,4794.01023764195
2004-10-01,4151.35107627663
2004-11-01,4298.5293528764205
2004-12-01,5215.29728926242
2005-01-01,4082.0583164370705
2005-02-01,4303.17276085945
2005-03-01,4510.751942011911
