DATE,NJBPPRIVSA
2003-02-01,2146.0062683174397
2003-03-01,2142.57043316719
2003-04-01,2324.26036644473
2003-05-01,2559.9238898693898
2003-06-01,2053.7183249981304
2003-07-01,2452.58928692167
2003-08-01,2652.2296561439302
2003-09-01,2461.0380720376397
2003-10-01,3163.81161210169
2003-11-01,2406.12100808836
2003-12-01,2704.4688869103
2004-01-01,2693.03033584003
2004-02-01,2551.1413496188197
2004-03-01,3161.72255451839
2004-04-01,3150.1766617621
2004-05-01,2714.00462015419
2004-06-01,2645.30429398958
2004-07-01,2776.05878274281
2004-08-01,2758.74001570801
2004-09-01,2966.81090755525
2004-10-01,2450.13087502602
2004-11-01,2747.7051109190197
2004-12-01,3264.1491843544704
2005-01-01,2980.99699106245
2005-02-01,2887.29878960943
2005-03-01,3060.6768892233504
2005-04-01,3828.7316381581104
2005-05-01,2854.1027569285197
2005-06-01,3412.31274194047
2005-07-01,2906.74221854508
2005-08-01,3244.60621889737
2005-09-01,2636.20951186108
2005-10-01,2930.48214684638
2005-11-01,2966.4437490005894
2005-12-01,2565.70400963344
2006-01-01,2732.62740110079
2006-02-01,3205.96079547736
2006-03-01,2808.39039731084
2006-04-01,2432.9666323294896
2006-05-01,2770.8185111975704
2006-06-01,2693.75546924194
2006-07-01,2584.07326933087
2006-08-01,2271.92791984911
2006-09-01,2687.9863952340397
2006-10-01,2075.3615623223604
2006-11-01,3240.31913213546
2006-12-01,2037.53828591868
2007-01-01,2398.84190149906
2007-02-01,2259.45133640643
2007-03-01,1738.16663785511
2007-04-01,1994.76916475297
2007-05-01,2008.7067534476103
2007-06-01,1997.05729120453
2007-07-01,1694.00802651443
2007-08-01,2596.67320335532
2007-09-01,1613.65276886637
2007-10-01,2010.3974800705398
2007-11-01,2154.20367457591
2007-12-01,1836.9760395684698
2008-01-01,1840.4997270598801
2008-02-01,1750.2704341973401
2008-03-01,2015.2654253497303
2008-04-01,1571.3572776585902
2008-05-01,1838.31114895565
2008-06-01,2447.24526139208
2008-07-01,1262.2789362477902
2008-08-01,1058.88504390298
2008-09-01,1095.65394049981
2008-10-01,1130.62698544489
2008-11-01,870.3734325383999
2008-12-01,893.8355010931599
2009-01-01,853.2573728820171
2009-02-01,1166.42446180761
2009-03-01,774.913708388992
2009-04-01,832.632314463397
2009-05-01,901.949300662113
2009-06-01,693.469184608917
2009-07-01,732.2816752100309
2009-08-01,845.859639470459
2009-09-01,1031.28460251118
2009-10-01,966.868455555065
2009-11-01,1077.75250684352
2009-12-01,1244.92907851733
2010-01-01,929.5361197895829
2010-02-01,1020.04708369321
2010-03-01,1103.12037675136
2010-04-01,1109.73001583273
2010-05-01,842.147605374748
2010-06-01,999.205303818178
2010-07-01,1042.76817124979
2010-08-01,1251.34956254349
2010-09-01,1181.4956093838198
2010-10-01,1094.32706416937
2010-11-01,983.849032433866
2010-12-01,1261.1248617199699
2011-01-01,1156.48359994155
2011-02-01,952.7421660461861
2011-03-01,1237.58165946866
2011-04-01,956.9980816841651
2011-05-01,1082.14454429635
2011-06-01,1216.68331567599
2011-07-01,902.674316061815
2011-08-01,1109.2392918527698
2011-09-01,942.997936724569
2011-10-01,1048.9625394034401
2011-11-01,1417.93401714775
2011-12-01,1169.8151971254401
2012-01-01,1173.51010761973
2012-02-01,1548.57661816475
2012-03-01,1299.30850122254
2012-04-01,1529.98814089435
2012-05-01,1168.3389680553998
2012-06-01,1663.2322069828601
2012-07-01,1836.37813888626
2012-08-01,1321.81415960246
2012-09-01,1542.2601662612399
2012-10-01,1642.77828190176
2012-11-01,1271.68182314256
2012-12-01,1481.09117121237
2013-01-01,2139.82277394323
2013-02-01,1265.55366447089
2013-03-01,1473.71151866547
2013-04-01,1893.1247094722303
2013-05-01,2483.45370199971
2013-06-01,1474.71394932362
2013-07-01,2177.67195802745
2013-08-01,2664.04583835305
2013-09-01,1695.2950643983
2013-10-01,2003.1169140354398
2013-11-01,1881.5040186975898
2013-12-01,1822.30656669465
2014-01-01,1658.1660821093699
2014-02-01,2057.4373013170302
2014-03-01,2351.03508298008
2014-04-01,2018.55845791612
2014-05-01,2314.4141300053398
2014-06-01,1849.1880588570602
2014-07-01,3005.70664277701
2014-08-01,2007.1961121590803
2014-09-01,2511.41304908012
2014-10-01,1569.42576671689
2014-11-01,1894.7829986850602
2014-12-01,1757.12472070017
2015-01-01,2056.62174223513
2015-02-01,1532.70676127032
2015-03-01,1868.2672147108103
2015-04-01,3932.26274884418
2015-05-01,3896.4000263279204
2015-06-01,3936.5020001425605
2015-07-01,2188.8929280679
2015-08-01,2428.50229737119
2015-09-01,2170.67117923734
2015-10-01,2664.7182967179997
2015-11-01,2329.3621492667103
2015-12-01,2801.1276986021303
2016-01-01,1453.32905524412
2016-02-01,3132.5319645185305
2016-03-01,2112.6602813565696
2016-04-01,2366.05630845911
2016-05-01,1762.5498119165302
2016-06-01,1889.0765606474104
2016-07-01,1537.93776178519
2016-08-01,2582.43658836757
2016-09-01,1925.48747166983
2016-10-01,1514.1858493019001
2016-11-01,1887.4971643459698
2016-12-01,2348.09614274133
2017-01-01,2386.26928609268
2017-02-01,2312.58357812325
2017-03-01,1677.43638251741
2017-04-01,1717.8996299796202
2017-05-01,2782.8276718208504
2017-06-01,1855.5021195411102
2017-07-01,2406.89731273913
2017-08-01,2382.5835290782898
2017-09-01,2175.12537689535
2017-10-01,2526.8266313785603
2017-11-01,2661.7406318952803
2017-12-01,2406.33318617208
2018-01-01,1673.1168180996801
2018-02-01,2865.3837297084697
2018-03-01,2285.9786673471
2018-04-01,1768.9582330335397
2018-05-01,2206.3623962770603
2018-06-01,2499.71271193817
2018-07-01,1969.9584203604502
2018-08-01,2150.2417832306196
2018-09-01,2057.99129970182
2018-10-01,2238.9192039691898
2018-11-01,2022.14175566315
2018-12-01,1516.66907663353
2019-01-01,1952.34395681258
2019-02-01,1915.2480224012302
2019-03-01,2234.87112467349
2019-04-01,2120.88833267439
2019-05-01,2342.13524910386
2019-06-01,2346.2286010318803
2019-07-01,2533.12533073102
2019-08-01,4229.215456961961
2019-09-01,3397.74081146573
2019-10-01,3526.53891574474
2019-11-01,3064.64837102159
2019-12-01,2378.05632310507
2020-01-01,2608.9340191390897
2020-02-01,2221.46039892495
2020-03-01,2694.81973679695
2020-04-01,1392.3039718624802
2020-05-01,1806.8204232352398
2020-06-01,2903.6745209121505
2020-07-01,2934.97045621253
2020-08-01,2343.01402369931
2020-09-01,3261.7734142667896
2020-10-01,3085.53509643193
2020-11-01,3046.14475355287
2020-12-01,2764.03676371706
2021-01-01,3597.79232177498
2021-02-01,2753.54446862717
2021-03-01,2807.6733691597196
2021-04-01,4052.1154744759297
2021-05-01,3147.41909834339
2021-06-01,2574.04649281174
2021-07-01,2711.65073896098
2021-08-01,3155.0331619175604
2021-09-01,2448.89434031127
2021-10-01,2739.7166677017103
2021-11-01,3104.72841280552
2021-12-01,4057.47905978111
2022-01-01,3185.4876908662104
2022-02-01,3708.10560642438
2022-03-01,3951.8500971622498
2022-04-01,3787.4445924721003
2022-05-01,2302.77864972208
2022-06-01,3184.94208573429
2022-07-01,3476.6507175491497
2022-08-01,2510.22864574328
2022-09-01,2504.70377329061
2022-10-01,1584.4436660743202
2022-11-01,2648.90134793297
2022-12-01,2984.027418693
2023-01-01,2686.70300350018
2023-02-01,2477.6332749478197
