DATE,ILBPPRIVSA
1999-02-01,4432.781870663351
1999-03-01,4636.24895303907
1999-04-01,4074.1006148371202
1999-05-01,4155.58693058677
1999-06-01,4473.44313472531
1999-07-01,4186.27410649775
1999-08-01,4753.89562465211
1999-09-01,4754.1420976523905
1999-10-01,4240.03432506548
1999-11-01,4710.7577128394205
1999-12-01,4315.28859388091
2000-01-01,4470.14243832781
2000-02-01,4624.403641854699
2000-03-01,4488.17467591815
2000-04-01,4531.08855298823
2000-05-01,4766.72401197375
2000-06-01,4025.3852738385604
2000-07-01,4316.58541631211
2000-08-01,4108.87295330784
2000-09-01,3894.39709130743
2000-10-01,3989.12616819317
2000-11-01,4356.45732035709
2000-12-01,3577.1896009749
2001-01-01,4972.50639019031
2001-02-01,4244.607445703689
2001-03-01,4305.350687895129
2001-04-01,4255.83396707739
2001-05-01,4579.41728933694
2001-06-01,4577.320638890979
2001-07-01,4238.10542143534
2001-08-01,4604.3899776883
2001-09-01,3791.44145892281
2001-10-01,4481.82161934609
2001-11-01,4696.26132740016
2001-12-01,4741.98862803639
2002-01-01,4943.55781660293
2002-02-01,4690.90702600194
2002-03-01,4599.2011323384295
2002-04-01,5151.9467434601
2002-05-01,4763.77448926702
2002-06-01,4795.85670204587
2002-07-01,5097.58572244394
2002-08-01,3702.6081148130797
2002-09-01,4903.9937433202
2002-10-01,5967.68897350905
2002-11-01,4366.54035579134
2002-12-01,5017.47738835554
2003-01-01,4596.73381516266
2003-02-01,4719.95961031553
2003-03-01,4401.96960855228
2003-04-01,5068.040312760821
2003-05-01,4359.29126039299
2003-06-01,6038.47584049926
2003-07-01,5085.53486711562
2003-08-01,5045.49486673932
2003-09-01,5310.049214269389
2003-10-01,6631.66466019735
2003-11-01,5263.0078266063
2003-12-01,4841.91398706317
2004-01-01,4601.54381180074
2004-02-01,4445.854259978871
2004-03-01,5524.41120061306
2004-04-01,4519.9977393933395
2004-05-01,4777.86651856989
2004-06-01,5091.56123774392
2004-07-01,5215.99457975843
2004-08-01,5258.37167194515
