DATE,TXBPPRIVSA
2003-05-01,13986.459942026799
2003-06-01,15009.329912383899
2003-07-01,14388.738587194099
2003-08-01,14237.462181616498
2003-09-01,15770.480297618
2003-10-01,15302.3492137879
2003-11-01,13595.9001155597
2003-12-01,14166.270381607901
2004-01-01,14012.6919858172
2004-02-01,14088.815872173702
2004-03-01,15179.1790474173
2004-04-01,15295.7656508552
2004-05-01,15796.0900366656
2004-06-01,14805.005420990601
2004-07-01,14893.953523067099
2004-08-01,14857.180430426
2004-09-01,15680.587241167901
2004-10-01,14988.3180323239
2004-11-01,14736.989067451399
2004-12-01,13543.695583757
2005-01-01,17109.4027669805
2005-02-01,16807.9882337251
2005-03-01,16294.004025972099
2005-04-01,16913.7547953653
2005-05-01,15438.499372081498
2005-06-01,16260.4030593171
2005-07-01,17510.595136076998
2005-08-01,19013.292064716697
2005-09-01,18020.873278593997
2005-10-01,17950.3425996658
2005-11-01,17370.011052346203
2005-12-01,17746.618856381
2006-01-01,20188.5101523901
2006-02-01,17490.852254637
2006-03-01,19625.051088679298
2006-04-01,18043.886732273302
2006-05-01,17792.2900523098
2006-06-01,19010.0158494175
2006-07-01,16306.952974176598
2006-08-01,16376.487633711398
2006-09-01,16383.454457131202
2006-10-01,16793.5034959163
2006-11-01,17425.2395747526
2006-12-01,16075.726272464699
2007-01-01,14347.777247581002
2007-02-01,16298.4421622759
2007-03-01,14725.955533023101
2007-04-01,13183.445649422
2007-05-01,16715.0942032626
2007-06-01,14448.2153398949
2007-07-01,15334.069817996002
2007-08-01,13765.997101219
2007-09-01,12698.6629955154
2007-10-01,13936.0394287119
2007-11-01,14275.8686445008
2007-12-01,12101.6710884219
2008-01-01,12894.438118906799
2008-02-01,12009.1788325332
2008-03-01,11687.753087231398
2008-04-01,11963.8959625803
2008-05-01,11825.393553059099
2008-06-01,9169.45119908853
2008-07-01,10770.5040845847
2008-08-01,10907.3113647139
2008-09-01,10068.1979720121
2008-10-01,9538.93792576942
2008-11-01,6453.246346978829
2008-12-01,7550.116880858979
2009-01-01,6889.60580534213
2009-02-01,7088.98229345808
2009-03-01,6626.2817983306895
2009-04-01,6678.09923525224
2009-05-01,6131.223386502429
2009-06-01,7150.02099372851
2009-07-01,7107.26231176015
2009-08-01,6783.4993875889895
2009-09-01,7981.82383176114
2009-10-01,5902.6746529825095
2009-11-01,6789.3047672742005
2009-12-01,6982.14882412103
2010-01-01,6968.67930908829
2010-02-01,6712.8045477935
2010-03-01,8719.30390525484
2010-04-01,7389.51933164295
2010-05-01,7211.55681697473
2010-06-01,7143.45909849935
2010-07-01,6778.02116416813
2010-08-01,6678.69352957303
2010-09-01,6879.492626641209
2010-10-01,5478.289212480539
2010-11-01,7123.72143658163
2010-12-01,6284.9744228301
2011-01-01,5975.17232713199
2011-02-01,6889.40881383506
2011-03-01,7569.75155695032
2011-04-01,7488.71567732058
2011-05-01,6959.464864994809
2011-06-01,8949.608060127819
2011-07-01,7736.72069513861
2011-08-01,8473.52023650609
2011-09-01,8351.17226306332
2011-10-01,8681.9871854454
2011-11-01,7349.00662369055
2011-12-01,8974.98187891957
2012-01-01,9875.431823396371
2012-02-01,9354.85600567677
2012-03-01,10106.5336794576
2012-04-01,9331.03988461201
2012-05-01,11137.6605766223
2012-06-01,10294.8692615455
2012-07-01,11221.5349360102
2012-08-01,11897.213191281202
2012-09-01,10268.3338586994
2012-10-01,12136.0991253039
2012-11-01,12445.8329131183
2012-12-01,11731.996229375
2013-01-01,12289.751636551398
2013-02-01,12416.0358278786
2013-03-01,11435.484657428799
2013-04-01,12668.084818764699
2013-05-01,11663.300508068201
2013-06-01,10597.2426753774
2013-07-01,11969.6334859048
2013-08-01,9420.618680014399
2013-09-01,13104.316304606498
